age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,35032,Some-college,1,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
44,Private,198216,Assoc-acdm,1,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,,0,40,United-States,>50K
30,Private,113044,Some-college,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,33,Vietnam,>50K
30,Private,99179,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,168,0,40,United-States,<=50K
38,Private,31606,Doctorate,6,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,174,0,40,China,>50K
39,Private,48413,Some-college,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,36,United-States,>50K
30,Private,186720,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,,50,United-States,<=50K
19,Private,86723,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,594,0,30,United-States,>50K
22,Local-gov,48087,9th,1,Never-married,Handlers-cleaners,Own-child,Other,Male,?,0,30,United-States,<=50K
56,State-gov,35945,HS-grad,1,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,30,United-States,<=50K
38,Private,289653,Bachelors,3,Never-married,Sales,Unmarried,White,Male,0,0,30,United-States,>50K.
40,Private,35032,5th-6th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,United-States,<=50K
34,Private,360814,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,0,0,34,United-States,>50K.
41,Private,215797,Some-college,6,Never-married,Handlers-cleaners,Unmarried,White,Male,,0,50,United-States,>50K
30,Private,76860,9th,1,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
23,Private,76860,11th,1,Married-civ-spouse,Exec-managerial,Husband,Other,Male,953,0,55,United-States,>50K
46,Self-emp-not-inc,98141,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,34,United-States,<=50K
47,State-gov,21906,Doctorate,16,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,3137,0,34,United-States,<=50K.
30,Private,21906,Bachelors,10,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,<=50K
30,Private,70919,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,114,,30,Puerto-Rico,>50K.
37,Private,31606,Assoc-voc,1,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,30,United-States,<=50K
61,Federal-gov,294466,Some-college,4,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,30,United-States,<=50K.
35,Private,25139,HS-grad,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2042,30,United-States,<=50K
24,Private,225860,9th,7,Never-married,Transport-moving,Own-child,White,Male,,0,39,United-States,>50K
30,Self-emp-not-inc,212793,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,20000,,50,United-States,>50K
57,Private,173504,10th,6,Widowed,Transport-moving,Not-in-family,White,Male,,0,34,United-States,<=50K
30,Private,48087,HS-grad,4,Married-civ-spouse,Craft-repair,Husband,White,Male,168,0,34,United-States,>50K
56,Private,107164,Some-college,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,34,United-States,>50K.
33,Private,35032,Assoc-voc,4,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
36,Private,234738,HS-grad,1,Separated,Adm-clerical,Unmarried,White,Male,0,,30,United-States,<=50K
37,Federal-gov,48413,HS-grad,1,Divorced,Other-service,Not-in-family,Black,Female,0,0,30,United-States,<=50K
39,Private,70668,Bachelors,3,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,30,United-States,>50K
24,Private,35945,HS-grad,1,Never-married,Craft-repair,Own-child,White,Male,0,,34,United-States,<=50K
38,Private,24712,Assoc-voc,4,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,30,United-States,>50K
33,Self-emp-inc,24712,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Haiti,<=50K
37,Private,31606,9th,4,Never-married,Exec-managerial,Own-child,White,Female,0,0,25,United-States,>50K.
30,Private,82049,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,168,0,54,United-States,<=50K.
37,Private,86723,HS-grad,1,Divorced,Sales,Not-in-family,Other,Male,0,0,30,United-States,<=50K
30,Private,27834,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,,34,United-States,>50K.
