age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
30,management,married,tertiary,no,5,yes,no,cellular,1,nov,72,8,-1,1,other,no
35,self-employed,married,secondary,no,529,yes,no,cellular,1,nov,10,4,35,0,failure,no
34,management,married,secondary,no,5,yes,no,cellular,13,mar,30,1,-1,1,other,no
30,technician,married,secondary,no,62,yes,no,cellular,2,jul,3,2,-1,0,failure,no
33,technician,married,secondary,no,0,no,no,cellular,6,apr,3,1,57,2,failure,no
24,student,single,secondary,no,5,yes,no,telephone,1,mar,3,2,35,0,other,no
38,management,married,tertiary,no,750,no,no,cellular,20,nov,3,2,-1,0,success,no
40,entrepreneur,married,primary,no,101,no,no,cellular,1,aug,19,2,-1,1,other,no
30,technician,married,secondary,no,27,no,no,cellular,1,mar,99,2,-1,1,success,yes
50,management,married,tertiary,no,62,no,no,cellular,28,apr,17,2,-1,1,success,no
50,unemployed,married,primary,no,1349,no,no,cellular,5,may,111,1,35,1,other,no
30,blue-collar,married,secondary,no,288,no,no,cellular,14,jul,100,1,-1,1,failure,no
32,management,single,tertiary,no,5,no,no,cellular,10,jul,19,1,15,1,failure,no
30,management,married,primary,no,27,no,no,cellular,1,jul,3,2,-1,1,failure,no
45,blue-collar,married,primary,no,5,yes,no,cellular,1,jul,11,2,17,1,failure,no
30,blue-collar,married,primary,no,0,no,no,cellular,1,jun,56,1,-1,1,failure,no
50,technician,married,secondary,no,104,yes,yes,cellular,4,may,19,2,35,1,failure,no
30,management,married,tertiary,no,5,no,no,cellular,8,jul,60,2,-1,1,success,no
30,blue-collar,married,primary,no,252,yes,no,cellular,4,jul,56,1,35,1,failure,no
34,blue-collar,married,primary,no,5,no,no,cellular,1,may,3,1,-1,1,failure,no
30,technician,married,tertiary,no,27,no,no,cellular,1,mar,55,1,35,1,failure,no
30,technician,divorced,secondary,no,414,yes,no,cellular,1,jun,8,3,9,0,failure,no
33,self-employed,married,tertiary,no,5,yes,no,cellular,1,jul,55,4,35,1,other,no
30,blue-collar,married,primary,no,54,no,no,cellular,27,jan,19,2,35,1,other,no
36,services,married,secondary,no,21,no,no,cellular,21,may,3,1,35,1,failure,no
47,retired,married,secondary,no,8,no,no,cellular,7,sep,56,1,92,1,other,no
38,management,married,tertiary,no,3228,no,no,cellular,8,aug,28,2,-1,4,failure,no
35,blue-collar,married,secondary,no,0,no,no,telephone,7,may,77,1,272,9,failure,no
30,blue-collar,married,secondary,no,73,no,yes,cellular,16,jul,364,2,-1,1,failure,no
30,services,married,secondary,no,56,yes,no,cellular,28,mar,8,1,9,0,failure,no
35,technician,divorced,tertiary,no,5,no,no,cellular,1,jul,14,8,-1,1,other,no
30,technician,single,tertiary,no,607,no,no,cellular,1,jul,365,2,-1,1,failure,no
32,technician,married,secondary,no,-413,yes,no,cellular,1,aug,10,3,180,5,failure,no
30,management,single,primary,no,62,no,no,cellular,1,jul,17,1,35,4,failure,no
30,admin.,married,tertiary,no,118,no,no,cellular,1,oct,6,1,35,1,failure,no
30,blue-collar,married,secondary,no,5,yes,no,cellular,5,jul,130,1,35,1,failure,no
43,services,single,tertiary,no,288,no,no,cellular,1,may,330,1,35,5,failure,no
30,admin.,divorced,primary,no,98,no,no,telephone,8,mar,11,1,35,1,failure,yes
30,blue-collar,single,secondary,no,-69,yes,no,cellular,2,feb,3,2,261,1,failure,no
30,management,married,tertiary,no,3047,no,no,cellular,30,mar,17,1,116,1,other,yes
31,admin.,single,tertiary,no,37,yes,no,cellular,1,jul,369,3,35,1,failure,no
30,admin.,married,secondary,no,1231,yes,no,cellular,1,may,156,1,-1,1,failure,no
24,services,single,secondary,no,5,yes,no,cellular,3,jul,211,3,337,2,other,no
37,blue-collar,married,secondary,no,54,no,no,cellular,6,may,412,1,77,6,failure,no
30,retired,single,secondary,no,5,yes,no,telephone,27,may,163,5,-1,1,failure,yes
47,self-employed,divorced,secondary,no,5,yes,no,cellular,20,nov,41,7,35,1,other,no
30,student,married,primary,no,1727,no,no,telephone,1,mar,55,1,57,1,failure,yes
33,technician,married,secondary,no,519,no,no,cellular,1,mar,94,1,35,1,failure,no
43,technician,married,secondary,no,101,yes,no,cellular,5,may,11,2,-1,1,failure,no
27,student,single,secondary,no,382,no,no,cellular,1,jun,3,2,17,1,success,yes
30,admin.,single,secondary,no,118,yes,yes,cellular,1,jun,60,3,35,1,failure,no
