age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,Private,29658,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,,United-States,>50K
41,Private,39630,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
19,Private,29658,Some-college,10,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,,Vietnam,<=50K
46,Private,149949,7th-8th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,4,United-States,<=50K
48,Private,30289,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,>50K.
31,Private,254146,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,4,United-States,>50K
28,Private,186720,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,50,United-States,<=50K
19,Private,208656,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,594,0,20,United-States,<=50K
42,Local-gov,423616,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,5,United-States,<=50K
56,Private,29658,HS-grad,3,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
38,Private,29658,Bachelors,10,Divorced,Sales,Unmarried,White,Male,0,0,4,United-States,>50K.
48,Private,315423,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,,4,United-States,<=50K
41,Private,105141,Some-college,3,Divorced,Adm-clerical,Own-child,White,Male,0,0,4,United-States,<=50K
41,Private,199915,10th,3,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,50,United-States,<=50K
40,Private,32276,10th,6,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
23,Private,29658,9th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K
84,Self-emp-not-inc,155057,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,<=50K
47,State-gov,29658,Doctorate,16,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,2354,0,45,United-States,<=50K.
41,Private,186720,Bachelors,3,Married-civ-spouse,Exec-managerial,Wife,Black,Male,0,0,4,United-States,<=50K
32,Private,179668,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,4,Puerto-Rico,>50K
33,Private,238816,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K.
61,Federal-gov,294466,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
38,Private,35429,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2042,40,United-States,<=50K
46,Private,257509,11th,7,Never-married,Transport-moving,Own-child,White,Male,0,0,39,United-States,<=50K
41,Self-emp-not-inc,29658,HS-grad,3,Never-married,Craft-repair,Unmarried,White,Male,0,0,35,United-States,<=50K
57,Private,178154,9th,8,Widowed,Transport-moving,Not-in-family,White,Male,0,0,4,United-States,<=50K.
19,Private,29658,HS-grad,3,Married-civ-spouse,Craft-repair,Husband,White,Male,,0,40,United-States,>50K
45,Private,32184,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,34,United-States,<=50K.
33,Private,186934,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
19,Private,207173,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,,30,United-States,>50K
