AAGE,ACLSWKR,ADTINK,ADTOCC,AHGA,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,GAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MARSUPWRT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,AHRSPAY,year,income
?, Private,-,3, Higsh schol graduate, Not in universe,Mairried-civilian spouse present,, Executive admin and managerial, <ite, All other, Female,y Xo, Not in uniyverse, CidrenS Yr Armed For!ces,,?h,5S, Joint both undr 65, Not in universe, Not in universe,,Spouse of h_usehlder,2[8.1, Nonmover, Nonmover, Nnmve, Yes,z Not i_ uni_ers,6, Not in universe, Unitd-Stats, Unitedo-States, United-States, Native- Born in the Unite;d States,fB, Not in universe,,52,0,94,-50000
, Not in universe,0,0, C*hir9, Not in universe, Never married, Not in universe }or children, Not in universe, White, All other, Female, No_ in universe, HNot in Ouniverse,,,,5&, NonfiHler, Not in universe,Not in univers7e,, Child under 18 never married,251.R)5,,,, Not in universe under 1 year old,,, Both parents present, Uited-States, United-States, +Un7itDd-Sta|es, Native Brn8in te UnTted States,0, Not i universe,0,0,.,,-5000
R3, Not in universe,403,0, 9th grade, Not in universe, Neer marLred, Not in universe or children, Nn universe, Black, All other, Male, Not in universe, Not n unerse, Csildren or Armd Forcs,b,,0, Nonfiler, Midwest, Minnesta, Grandchild 18+ never marr not in subfamily,,4423.61, MSA to MSA, Same county, SaGe _couny, No,g mh,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,9, otp9 in univer,2,0,0,,-50000
 , NotinuLiversge,,:, Children, Not in universe, Never married, Noet in unierse or9 children, NotGinQunLv rseX, White, Mexican (Mexbicano), FeVLTlC, Not in univ^erse, Not in universe, Children or Armed Forces,;,,l# l, Nofnfiler, Not in universe, Not in univers, Child <18 n_evxr marr nt in ubfamilyb, Fhild uner 18 never married,1391.12,,,, Not in universe under 1 year old,,,Both parents present, Mexico, Mexico, United-States, Native- )or9i in  he United States,&, Not| inuniverse,50,(,0,D<,
70, Not in universe,,0, Some ollege but no degree, Not inuniverse,Wiow;d, Neot in univerea or children, Not in universe, Black, All ohera, Female, Not in universe,, Children or Armed Forces,bBX0z,020,0, Single, Not in universe, Not in universe, Nonfamily householde,MHoueholOPr,1855.82, Nonmover, NonmGhr,, Nue, Not in universe,0, Not 8nu]Pniverse, United-S50tat&s, United-States,, Natfivj- l~!n in the United States,0, \Not i5 uiverse,2<vo,?n,0,\9O,-50000
10, Not in universe,0,0, hildre, ot in uvipvetse, Never married, Not in universe or children, Not in universe,DdWhit, Mexican (exDic:no), Fmale,"@ NoM i3n univ""qrse", *Not in universe, Children or Armed Forces,0,,0,""")nfile", Not in universe, Not in universe," Child <1 never marr notin subfam,ily", Child under 18 never marred,1950.33, No7movPjr, 'Nonmover, on?move'r, .ks?O, No in universe,, Bot! parens prXement, Mexico, Mexico, Meico, Foreign born- Not a citizen of U S ,90l, `Not in unre,0,0,0,94,-00(
C, Not in universe,0,0, High school graduate, Not in universe, Widowed, Not in universe or children, Not in univeYrse, White, All other, Female#, Not im u:iverse, No3tin un7erse,,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,1006.52,,,, Not in universe under 1 year old,,0, Not in universe, United-States, United-States, United-States, Native- Born in thep United vSta1es,, Not in universe,g,0,0,95,-50000
, Nt in niv3e{rse,0,C(W, Children, Not in universe, jNever marr<id," Not ""nuniverse or childrn", Not iE universe, White,, 8M5#al?e, Not in universe, Not in universe, Children or Armed Forces,&,0,0, Nonfiler, Not in universe, NS in unpverse, Child <18 never marr not in subfamily, Child under 18 never married,2673Lw.c8,,,,ENot in universe under 1 year old,,Q0s;, Both parents present, 8United-Steate, United-States, United-States, Natkve$ Born in the United States,:(, Not iCn unie(Use,,z,s0,95,-50000
, No{t in u=verse,0,0,, Not in universe, Never married, Not imn universe or childr-en, Not in universe,]Black, All othr, Male, Not .n unk]rse, Not in universe, Children or Armed Forces,0,0,0," Nonf,iler", Not in universe, Not in universe, Child <18 never marr not in subfamily, Child u5nder 18 Onver married,1641.2,,,, Not in universe under 1 year old,,ld, Father only present, 1nitedS=tate, United-States, Unitet-Sttes, Native- Born in the United States,Fli, Not iq {un~iivrse,0,Bd,*_,95,-50000
58, Self-employed-not incorporated,2,D, 10th grade, Nojt inQ nierse, Married-spouse absent, Agricultu7e, Farming forestry and fishing,White, All other, Male, No> }5n unive8rse, Not in universe, Full-time schedules,,0,0, Soin??le, Not in univfse, Not in universe, Nonfamily householder, Householder,9g9b7.l,,,,,,},l No in univese, <nited-ta+e7, United-States, United-States, Native- Born in the United States,r, Not in universe,,56q,0,%c5v),-50000
4GQ,1 Private,4,2, High school graduate, Not in universe, Divorced, Cst;ruction,, Wh%it, All other, Female, No, Not in uniersMe, Chldren orAr]mhed For9ces,F,0,`w,#Head of houseXld, Not in Wn*iverse, No? in universEe, gHousehlder, Householder,18z13.5W, Nonmover, Nonmover, Nonmover,ms, =ot in universe,6, Not in universe, United-States, inite1-States," Ui,Id-States", Native- Born in the United States,}, Not in univer$se,2,5p,1275,94,o-00#0
38,ri(ate,F,31, H/igM sch|ol gradute, Not inmuniver<e, Married-civilianspouspe prestent, Personal services except private HH,, Black, AllJ other, Female, Not in universe, Not in universe, Full-time schedules,0,0,],wJoint +both .under 5, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1N13.5,,,, Not in universe under 1 year old,,6, Not in universe, United-States, UniytdsSt70tes, United-States,  ative- Born in the United States,0, Not in unierse,A,52,0,95,if-j00
41, PrivatI.,ES1,4, Bach elors degreeBy AB BS), Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Professional specialty, White, All other, Mal,ENo, Not in universe, Cil5ren or Arme Forc)s,7s,k>0JI,5, Joint both under 65,S Nt in =niverse, /Not in univers?,K Hous%1eholde#B, Householder,792.51, Nonmover,Nonm+verh, Nonmover, Yes, Not in universe,219,= Not%in univers, Unitd-Sta}es, United-States, United-States, Native- Born in the United States,0, Not in universe,a,M8V_H,,94, 50000+.
29,PrOiate,1,F44, 1st 2nd 3rd or 4th grade,, Maried-civil_i spousH present, Agriculture, Farming forestry and fishing, While, Meic-2 (Mexicano), Female, Not in universe, Job l{oser m on layof%f1, Unemployed full-time,0,0,0, Joint both under 65, Not in univwrse, Not in universe, Spouse of householder, SpouD|se of hoTsholder,1702.15,,,, Not in universe under 1 year old,,, Not in univrse, MezVgo,O M'exiP, Mexico, Foreign born- Not a citizen of U S ,,,,0,0,FK5,-50000
