age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
,Privat,33G`z,Someco=le6ge,L#@p,Never-marriid,2Z!le,Not-infamily,Whi 5t]`4,Femayle,h,0,3X,,<=5X
4R4,Private,Q98270,Asso#-jcm,M,,Prof-szeialty,,WNdi9te,emIalkme,,x,4*,nite}d-States,L=(
M,ivae,11K248,Sme-collEg?-,10~,Never-arried,,|ot-in-fa!9P,nAsinn-Pac-Islane,MaOe,0,b,,Vietnam,20
m,PriRt'a,14994D9,'Mh-8t,Z4,Married-civ-spouse,,Husban$,WhNx!e,Mal^,,A0,40v,nit]d-Sate1,t=560K0
38,rFvPte,161K,Doctorate,A6,Ma)rbried-civ-spouse,P<rf-peci2aly,Huband,Asian-Ppac-(0lan*de,MFa;Dev,,n0z,4(C,China,#{>M0.
+9,PrivazWtN,j5416,Some-co\llege,,Married-civ-spouse,Cra]t-r=pFai<,Husb/\ad,XWhite,Male,J,D9x,,Unitet*bates,50?
8M-,Prit%,186720,NoEm4p-collge,10{hc,Ne&r-marIied,Othe2r-1ervdice,Own-child,Wi`:e,Femae,va,,50S,Unite2d-States,<=Ro~>K
19,P|va*e,286K>\h,S4ome8coWllege,y0,<Neve-bmarrie'd,Aom-ce(ical,OwB-child,,JF?mae,594,0,Q,Jnited-States,=50K
2U2, oGcal-gvv,4K064,e{xpth,a,,H+Pdlers-cleaners,~wn-ch0ildd,JWh/,[Mle,?,`O0,q;,United-_StatesH,<=5K
~56,OStat-Uov,{`5,,;,Wi7dowed,Adm-Hclerical,sUmarried,Asian-Pac-IKla1der,F:mil<,^,0,y0,United-States,<=O0K
38,Srivate,289653,BHachelorsS,3v,,Sn\^,Unmarried,WQhti6,<Mal,|k,},O',Unted-tates,(>5e0KG&.
4D,PHiva6te,3154b23,5th-6th,c[6,Malrried-civ-spouse,Transport-moving,Husfband,WhiteY,Ma0,@/,HW,-0,!Unite-States,<=50K
G34,rivaC0,1?05u8141,SomeD-coll}Ne,&0;,DsvercH,Adqa|leric^l,)wn~-chcild,hi]e,M~le,G,x,,UniA\tedSttes,/5K.
41V,"Prvt,",1~)97,,,Never-ma9rijed,Hn`dljrs-Blea2ers,Cnmarred,White,{,,.,50,nited-States,=0cc
c,?,86f86,utkD>h,"i""@",Nevr-married,?,Ow-Gcild,AWhxiite,Fmale,$0G5^,Z,40,Unite-Attes,<=d5R0K
23,"briG,rate",5Q890,171V^h,h,Married-Giv-spouse,ExemnageriaF,HusbWn{,BOWh4{t,FaCleg,,7,5D5,UnitedState8s,<_0D
",46",Self-*emp-not-inc,,Bvcyehlors,13,MKr}riedA-civ-cspouve,FarminF-fishing,Hfucban,hye,Ml'J,20,E,,Un0ited-StatPs,<PL5K\
47,Stae-gov,g1l062,Doctorat{e,16,Sep&rated,Exec-mnagDerial,,Asian-Pac-IsladGr,MaW,-E351,#0k,44.,United-DSta\Hesy,x=5MK.
Fp*,Prite,1952,Bachelors,v0Zm,Mariedci<-_Mpouse,,,lBlk\/,FymMale,0,ds,4<Z,?,<=50nK
~,~Pr(aKen,k6969,,),Married-civ-spose,,6DusbBPnd,,Miale,10yu4,,@,Pu#rto-hRco,B>5S0K.
,,$238+16'/,ss;-voc,_+#,Married-civ-spous,Tech=por\,"Hus;""d",WQh5tn,Mul,)v,8,:,UnipedStatesU,-N<=50K
671,Federal-gov,294466,Some-cllege,,Divorc(d,Adm>-clArical,Not-in-family,,,%_5T,We,j0,,<=5K.
,P:Zva[te,L5429,HS-Rgad,,arrie-civ-}spoune,Handlrs-cleanefs,Hu}sband,Wie,^ale_,L,2042,K,UnQitedAuats,<=5'K
2q4,Priva}te,o@5U61,tf,7,Nev_wer-marri>d,Trasport-movi=g,Own-child,Zhit,MaR{l$,,"""}",F9{,United-States,<0K
_l,Slf-e6mp-no:\inc,j1Y893Y,HS-grad,"9""",Marrid-c1K-!spouse,Craft-reair,HusbaNd,kit,Ma.e,,,5{d,Unites-Stas,=K
57,,1781x5!4,10tm,6se,WtdoedJ,Tera[nsp`r--oving,FN-iOn-fami`y,"Wh""ie",&le,,0>8,k4h,Unied-!tates,<=50.
c,Pro<jae,qN58,HS-grad,,Married-civ-spose,CnrdfDtsrepalr,Husad,=ie,DM1a,,0,o4,Unite<d-ate5_,50K
