age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20,Private,34273,Some-college,10,Never-married,Sales,Not-in-family,White,Female,,0,30,United-States,<=50K
,Private,79870,Assoc-acdm,,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,23,United-States,<=50K
,Private,195868,Some-college,10,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,,40,Vietnam,>50K
,Private,118909,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,266347,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,>50K
20,,35411,Some-college,1,Married-civ-spouse,,Husband,White,,0,1902,46,United-States,>50K
28,,180220,,10,Never-married,Other-service,Own-child,White,,0,,,United-States,
,Private,185619,Some-college,1,Never-married,Adm-clerical,,White,Female,0,0,40,United-States,
22,Local-gov,49325,11th,1,Never-married,Handlers-cleaners,Own-child,White,Male,0,,30,United-States,
56,State-gov,34452,HS-grad,1,Widowed,Adm-clerical,,Asian-Pac-Islander,Female,0,,40,,<=50K
31,Private,86459,Bachelors,,Divorced,Sales,Unmarried,Other,Male,0,0,40,United-States,>50K
20,Private,35459,5th-6th,,Married-civ-spouse,Transport-moving,Husband,White,Male,,0,,United-States,>50K
34,Private,195994,Some-college,10,,Adm-clerical,Own-child,,Male,0,0,40,United-States,
21,Private,169605,10th,1,Never-married,Handlers-cleaners,Unmarried,,Male,0,,5,United-States,<=50K
17,?,67187,10th,1,Never-married,?,Own-child,White,Female,0,0,5,United-States,<=50K
,Private,235894,10th,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K
20,Self-emp-not-inc,185057,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States,
20,State-gov,61062,Doctorate,,Separated,,Own-child,Asian-Pac-Islander,Male,2062,0,45,United-States,<=50K
20,Private,31327,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,,?,<=50K
20,Private,35459,Bachelors,13,,Prof-specialty,Husband,White,Male,0,0,40,Puerto-Rico,>50K.
20,Private,35411,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,,Male,,0,40,United-States,
26,Federal-gov,,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,,,40,United-States,<=50K
28,Private,,HS-grad,1,,Handlers-cleaners,Husband,White,Male,0,2051,40,United-States,<=50K
,Private,156950,11th,7,Never-married,Transport-moving,,White,Male,0,,99,United-States,<=50K
50,Self-emp-not-inc,105930,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,,0,5,United-States,<=50K
,Private,206354,,1,Widowed,Transport-moving,Not-in-family,White,Male,0,0,,United-States,>50K.
,Private,35945,HS-grad,1,Married-civ-spouse,Craft-repair,Wife,,Male,0,0,5,United-States,>50K
,Private,182757,Some-college,1,Married-civ-spouse,Craft-repair,Husband,White,Male,,0,30,,>50K
20,Private,182836,9th,1,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,30,United-States,<=50K
20,Private,207973,HS-grad,,Separated,Adm-clerical,Unmarried,White,Female,0,0,,United-States,>50K
20,Federal-gov,37215,9th,,Divorced,Other-service,Not-in-family,Black,Female,0,0,5,United-States,<=50K.
39,Private,196328,Bachelors,,Married-civ-spouse,Tech-support,Husband,White,Male,0,,,United-States,>50K
26,Private,162312,HS-grad,1,Never-married,Craft-repair,Own-child,White,Male,,0,40,United-States,<=50K
20,Private,23686,Assoc-voc,1,Married-civ-spouse,Tech-support,Wife,White,Female,0,,5,United-States,>50K
22,Self-emp-inc,343872,,1,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,,23,Haiti,<=50K
20,Private,182836,11th,1,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,>50K
,Private,26898,HS-grad,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,5,United-States,<=50K.
31,Private,37215,HS-grad,,Widowed,,Not-in-family,Other,Male,0,0,?,United-States,<=50K
23,,34273,Bachelors,,Married-civ-spouse,Sales,Husband,White,Male,0,1902,,United-States,>50K.
24,Private,222853,Some-college,1,Never-married,Craft-repair,Unmarried,White,Male,,0,5,United-States,>50K
20,Private,169837,HS-grad,1,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,5,United-States,>50K
28,,,Some-college,,Married-civ-spouse,,Husband,White,Male,,,46,United-States,<=50K
20,Private,212125,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
20,Private,196328,HS-grad,,Never-married,Handlers-cleaners,,,Female,0,,5,United-States,<=50K
20,Private,182757,,10,Never-married,Other-service,Own-child,White,Female,,0,40,United-States,<=50K.
20,Private,75619,Some-college,5,Never-married,Sales,Not-in-family,White,Male,0,0,20,United-States,<=50K
,Private,35459,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,?,40,United-States,>50K
20,,31327,HS-grad,9,Married-civ-spouse,,Wife,White,Female,,0,5,United-States,>50K.
20,?,35459,Some-college,,Never-married,?,Own-child,White,Male,0,,40,United-States,
20,Private,23686,HS-grad,1,Never-married,Handlers-cleaners,Own-child,White,Male,,0,5,United-States,>50K
21,Private,34273,Prof-school,,Divorced,Prof-specialty,Not-in-family,Other,Male,0,0,5,United-States,>50K
42,State-gov,,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
,Private,376474,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,,Male,0,,20,United-States,>50K
20,Self-emp-not-inc,182836,9th,9,Widowed,Exec-managerial,Not-in-family,White,Male,,0,,United-States,>50K.
20,State-gov,114544,,3,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,,>50K
20,Private,65624,Bachelors,1,Never-married,Prof-specialty,Not-in-family,,Male,0,0,5,United-States,<=50K
25,Local-gov,279452,HS-grad,1,,Farming-fishing,Husband,White,Male,,0,54,United-States,<=50K
20,Private,297551,HS-grad,,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,7688,0,5,United-States,>50K.
61,Private,92003,Some-college,2,Divorced,Other-service,Not-in-family,White,Male,,0,5,United-States,<=50K
20,Private,105930,Some-college,,Widowed,Sales,Unmarried,White,Female,0,0,5,United-States,<=50K.
29,Self-emp-not-inc,126569,Prof-school,,Married-civ-spouse,Prof-specialty,Husband,White,Male,2829,0,60,United-States,
39,Private,35459,Assoc-voc,1,Married-civ-spouse,,Husband,White,Male,0,,40,United-States,<=50K
20,Private,660870,Bachelors,1,Never-married,Exec-managerial,,White,,0,0,5,United-States,<=50K.
,Self-emp-inc,185619,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,,0,0,40,United-States,>50K
42,Private,185459,Some-college,,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
20,Private,266347,Assoc-acdm,,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,5,United-States,<=50K
20,,143098,Prof-school,15,Married-civ-spouse,,Wife,White,Female,5013,0,50,United-States,>50K
35,Private,376474,Some-college,1,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,5,United-States,>50K
,?,134566,,1,Married-civ-spouse,?,Husband,White,Male,0,,50,United-States,>50K
90,Private,196758,9th,1,Never-married,Adm-clerical,,White,Female,0,0,40,United-States,<=50K
23,State-gov,49325,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,90,United-States,<=50K
,Private,,Assoc-voc,,Separated,Sales,Unmarried,Black,Female,,0,5,United-States,>50K.
45,Private,39026,9th,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,5,United-States,<=50K
20,Private,174395,Masters,14,Married-civ-spouse,Prof-specialty,Husband,,Male,,0,46,,>50K
31,,35411,Some-college,1,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,,40,United-States,
20,Private,49996,Some-college,,Divorced,Sales,Not-in-family,White,Female,,0,50,United-States,<=50K
,State-gov,23686,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,,40,United-States,<=50K
20,Private,75619,HS-grad,1,Widowed,Tech-support,Not-in-family,White,Male,0,0,5,United-States,>50K.
20,Private,23686,9th,4,Divorced,,Not-in-family,,Male,,,40,United-States,
41,Private,61062,HS-grad,1,Divorced,Other-service,Not-in-family,White,,0,0,5,United-States,<=50K.
26,Private,233777,Some-college,,Never-married,,Not-in-family,White,Male,,,40,United-States,
39,Private,185619,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,,0,,30,,>50K.
29,,45599,Some-college,,,Adm-clerical,Wife,Other,Male,0,,40,United-States,>50K
20,Private,169882,,8,Never-married,Craft-repair,Unmarried,White,Male,0,,5,United-States,>50K
20,Private,34273,HS-grad,5,Never-married,Adm-clerical,Not-in-family,White,Female,0,,40,United-States,<=50K.
22,Self-emp-not-inc,34452,Doctorate,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,99,United-States,>50K.
25,Private,185459,HS-grad,9,Never-married,,Not-in-family,White,Male,0,0,,United-States,>50K
20,Private,99146,9th,1,Married-civ-spouse,,Husband,White,Male,0,,40,United-States,
21,Private,182757,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,0,40,?,
20,,118909,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,40,,>50K.
22,Local-gov,169837,Assoc-acdm,2,Divorced,Exec-managerial,Not-in-family,Black,Female,0,,40,United-States,<=50K
40,Private,182313,,,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,5,United-States,<=50K
60,,,,1,Widowed,,Not-in-family,White,Female,,,5,United-States,<=50K
,State-gov,95918,HS-grad,1,Never-married,Other-service,Own-child,White,Female,0,0,42,United-States,<=50K
21,Federal-gov,35411,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,5,Philippines,>50K
54,Private,185619,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,,1408,5,United-States,<=50K
50,?,34273,,13,Married-civ-spouse,?,Husband,White,,0,0,5,United-States,<=50K
22,Private,86723,HS-grad,1,Married-civ-spouse,Sales,Husband,Black,Male,0,?,5,United-States,<=50K
,Private,205100,HS-grad,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,,United-States,
,Private,376474,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,,,<=50K
43,Private,233777,Assoc-voc,1,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
23,Private,49593,Some-college,1,Divorced,Prof-specialty,Not-in-family,White,Male,0,,5,United-States,>50K
,Private,73054,Assoc-voc,1,Divorced,Tech-support,Not-in-family,Black,Male,4064,,40,United-States,>50K
21,Private,39026,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,
,Private,,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,,5,United-States,
,Private,34273,10th,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,5,United-States,<=50K
29,Private,185459,HS-grad,9,Never-married,Handlers-cleaners,,White,Male,0,0,5,United-States,<=50K
24,Private,721161,Some-college,,Separated,,Not-in-family,Black,,,0,,United-States,>50K
28,Local-gov,35945,9th,,Never-married,Protective-serv,Own-child,,,0,,40,United-States,>50K
20,Private,127089,11th,1,Never-married,Other-service,Own-child,White,Male,0,,5,Scotland,
23,Private,,Assoc-acdm,1,Married-civ-spouse,Exec-managerial,Husband,White,,0,,40,United-States,>50K.
20,Private,61062,9th,1,Never-married,Other-service,Own-child,White,,,0,,,
20,Private,190273,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,,United-States,>50K
23,State-gov,104525,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,,,5,United-States,<=50K
20,,247187,5th-6th,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,,>50K.
26,,75619,HS-grad,9,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,5,Cuba,<=50K.
17,Self-emp-inc,101603,9th,,Never-married,Sales,Own-child,White,,,0,,United-States,<=50K
20,Private,,Some-college,1,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,30,United-States,>50K.
23,Private,23686,Bachelors,1,Divorced,Exec-managerial,Unmarried,White,Female,,0,5,United-States,<=50K
20,Private,,Some-college,5,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,>50K
40,Private,126569,9th,9,,Sales,Husband,White,Male,4064,0,,United-States,<=50K.
20,Private,26898,,5,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K.
58,Private,205100,9th,1,Married-civ-spouse,Other-service,Husband,White,Male,,0,20,United-States,<=50K
20,Self-emp-not-inc,34452,Some-college,1,Married-civ-spouse,Craft-repair,,White,Male,5178,2051,40,United-States,>50K.
23,?,,Assoc-voc,1,,?,Not-in-family,White,Female,0,2392,,United-States,>50K
20,Private,104440,HS-grad,1,Never-married,Other-service,Own-child,,Male,0,0,40,United-States,<=50K
20,Private,268832,Bachelors,1,,Prof-specialty,Own-child,,Female,,0,40,,<=50K
64,Private,49996,,9,Married-civ-spouse,Adm-clerical,Wife,,Male,0,,45,United-States,>50K.
,Private,190273,HS-grad,1,Never-married,Protective-serv,Not-in-family,White,Male,0,,5,United-States,<=50K.
20,Self-emp-not-inc,,Bachelors,13,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,>50K
50,Private,49325,Bachelors,1,Married-civ-spouse,Exec-managerial,,White,Male,,0,55,United-States,>50K
20,Private,168981,,1,Divorced,Craft-repair,,White,Male,0,0,45,United-States,
,Private,,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
23,Private,182836,10th,,Never-married,Craft-repair,,Other,Male,,0,,United-States,<=50K.
20,?,245487,,1,,?,Husband,White,Male,0,0,5,United-States,>50K
,Private,206354,HS-grad,,Divorced,Adm-clerical,Not-in-family,White,,0,,5,United-States,<=50K
31,Private,182757,Some-college,1,Married-civ-spouse,,Husband,White,Male,,0,40,Mexico,
28,Private,126569,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
71,Private,101603,Some-college,10,Widowed,Sales,Not-in-family,White,Female,0,,5,United-States,>50K
71,Private,,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,5,United-States,>50K
26,Private,31327,HS-grad,9,Divorced,,Not-in-family,White,Female,0,,40,United-States,<=50K
50,Private,377121,HS-grad,1,Married-civ-spouse,Other-service,Husband,Other,Male,0,,32,Mexico,>50K
20,Self-emp-not-inc,,HS-grad,9,Married-civ-spouse,Sales,Wife,Other,Female,0,0,40,United-States,<=50K
28,?,67187,HS-grad,1,Never-married,?,Own-child,,Female,0,0,,,
,Private,23686,Some-college,1,Married-civ-spouse,Craft-repair,Husband,White,Male,,0,44,,>50K
26,,182836,Masters,1,,,Husband,White,Male,0,,,United-States,>50K
,Private,206354,HS-grad,9,Never-married,Other-service,Unmarried,Black,,0,0,5,United-States,<=50K
,,320451,9th,1,Divorced,Craft-repair,Not-in-family,Black,Male,,0,40,United-States,
