age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
30,management,,tertiary,no,19,yes,no,cellular,,nov,8,2,37,0,,no
35,self-employed,married,secondary,no,524,yes,no,,1,nov,44,4,-1,,,
35,management,married,secondary,no,,yes,no,,13,mar,309,1,37,0,,no
38,services,married,secondary,no,2,yes,no,cellular,1,jul,8,1,,1,,no
33,technician,married,,no,,yes,no,cellular,20,,13,1,37,,failure,no
24,student,single,secondary,,25,yes,no,telephone,1,apr,8,1,,0,,no
30,management,married,tertiary,no,516,no,,cellular,20,,8,1,,0,,no
40,entrepreneur,married,primary,no,694,no,,cellular,8,aug,94,,-1,0,,no
30,technician,married,secondary,,293,no,no,cellular,1,mar,429,1,37,0,,yes
41,management,married,tertiary,no,1,no,no,cellular,,jul,67,1,-1,0,,no
30,unemployed,married,primary,,4,yes,no,cellular,,may,131,1,-1,1,,
,blue-collar,married,secondary,no,104,no,no,cellular,1,jul,149,1,,,,no
35,self-employed,single,tertiary,no,3279,yes,,cellular,1,apr,21,1,146,1,,no
30,management,married,primary,no,479,no,no,,,jul,13,2,-1,9,,no
35,blue-collar,married,primary,,,yes,no,cellular,31,jul,21,1,37,0,,no
31,unemployed,married,primary,no,1,no,no,,1,,8,,-1,0,,no
30,technician,married,secondary,no,104,yes,yes,,1,may,224,1,-1,1,,no
39,management,,tertiary,no,198,no,no,cellular,8,apr,166,1,37,0,,no
34,blue-collar,married,primary,no,12,no,no,cellular,23,jul,98,1,37,1,,no
30,blue-collar,married,primary,no,1,,no,cellular,6,,,1,37,1,,no
37,technician,married,primary,no,1,no,no,cellular,25,may,254,1,37,1,,no
34,technician,divorced,secondary,no,4,,yes,,1,jun,8,1,-1,1,,no
,,married,tertiary,no,1,no,no,cellular,11,jul,26,,28,0,,no
30,blue-collar,married,primary,no,8514,yes,,,1,may,8,1,-1,1,,no
30,,married,secondary,no,54,no,no,,2,mar,19,1,,,,no
60,retired,married,primary,no,1,no,no,cellular,1,jul,8,5,,1,,no
35,management,married,tertiary,no,228,no,no,,9,aug,8,8,37,,,no
