AAGE,ACLSWKR,ADTINK,ADTOCC,AHGA,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,GAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MARSUPWRT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,AHRSPAY,year,income
4, Private,33,3, High school graduate,, Married-civilian spouse present, Finance insurance and real estate,, White, All other, Female, No,, Children or Armed Forces,0,0,25,,, Not in universe, Spouse of householder, Spouse of householder,1268.66, Nonmover,, Nonmover, No, Not in universe,, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,,4,0,94,-50000
1, Not in universe,4,0,, Not in universe, Never married, Not in universe or children, Not in universe,, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,2453.07,,,,,,0, Both parents present, United-States,, United-States, Native- Born in the United States,0, Not in universe,0,12,0,95,-50000
36, Not in universe,4,0, 9th grade, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Midwest, Minnesota,, Other relative of householder,313.81, MSA to MSA, Same county, Same county, No, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,4,0,94,-50000
2, Not in universe,4,3, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican (Mexicano), Female,, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1771.12,,,, Not in universe under 1 year old,,0, Both parents present, Mexico, Mexico, United-States,,0,,0,4,0,94,-50000
0, Not in universe,0,, Some college but no degree, Not in universe, Widowed, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0,, Not in universe, Not in universe, Nonfamily householder, Householder,1855.82, Nonmover, Nonmover, Nonmover, No, Not in universe,, Not in universe, United-States,, United-States, Native- Born in the United States,0, Not in universe,2,,0,94,
1, Not in universe,4,3, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican (Mexicano), Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler,, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1550.51, Nonmover, Nonmover, Nonmover,, Not in universe,, Both parents present, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, Not in universe,0,,0,94,-50000
1, Not in universe,4,, High school graduate, Not in universe, Widowed, Not in universe or children,, White, All other,, Not in universe, Not in universe, Not in labor force,0,,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,1096.72,,,, Not in universe under 1 year old,,3, Not in universe, United-States, United-States,, Native- Born in the United States,0, Not in universe,,4,0,94,-50000
1, Not in universe,4,3, Children, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe,,0,0,, Nonfiler, Not in universe,, Child <18 never marr not in subfamily, Child under 18 never married,1679.7,,,, Not in universe under 1 year old,,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,, Not in universe,0,,0,94,-50000
, Not in universe,4,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,,0, Nonfiler, Not in universe,, Child <18 never marr not in subfamily,,1661.21,,,, Not in universe under 1 year old,,0, Father only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,4,,95,
58, Self-employed-not incorporated,2,41, 10th grade, Not in universe, Married-spouse absent, Agriculture, Farming forestry and fishing, White, All other, Male, Not in universe, Not in universe, Full-time schedules,,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,998.8,,,, Not in universe under 1 year old,,, Not in universe, United-States,, United-States, Native- Born in the United States,0, Not in universe,0,26,0,94,-50000
42, Private,,2, High school graduate, Not in universe, Divorced, Construction, Executive admin and managerial, White, All other,, No, Not in universe,,0,0,0, Head of household, Not in universe, Not in universe, Householder,,313.81, Nonmover, Nonmover,, No, Not in universe,0,, United-States, United-States, United-States, Native- Born in the United States,, Not in universe,2,52,525,94,-50000
, Private,4,1, High school graduate, Not in universe, Married-civilian spouse present, Personal services except private HH, Other service, Black, All other, Female, Not in universe,, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe,, Spouse of householder,1148.45,,,, Not in universe under 1 year old,,, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,,52,,95,-50000
4, Private,12,3, Bachelors degree(BA AB BS), Not in universe, Married-civilian spouse present, Manufacturing-durable goods,, White, All other, Male, No, Not in universe, Children or Armed Forces,0,,, Joint both under 65, Not in universe, Not in universe, Householder, Householder,926.71, Nonmover, Nonmover, Nonmover, Yes,,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,,20,0,94, 50000+.
9, Private,4,, 1st 2nd 3rd or 4th grade, Not in universe, Married-civilian spouse present, Agriculture, Farming forestry and fishing, White, Mexican (Mexicano), Female, Not in universe, Job loser - on layoff, Unemployed full-time,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,551.15,,,, Not in universe under 1 year old,,0, Not in universe, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, Not in universe,2,0,0,94,-50000
50, Private,4,, Bachelors degree(BA AB BS), Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, All other, Male, Not in universe, Not in universe, Full-time schedules,,0,0, Joint both under 65,,, Spouse of householder, Spouse of householder,1062.4,,,, Not in universe under 1 year old,,0,, United-States,, United-States, Native- Born in the United States,0, Not in universe,0,52,0,, 50000+.
