age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
36,management,married,tertiary,no,549,yes,no,cellular,18,nov,72,2,-1,0,,no
35,self-employed,married,secondary,no,524,yes,no,cellular,21,nov,484,4,-1,0,,no
55,management,married,secondary,no,0,yes,no,,13,may,309,2,-1,0,,no
48,services,married,secondary,no,622,yes,no,cellular,25,jul,95,1,-1,0,,no
33,technician,married,secondary,no,4790,yes,no,cellular,20,apr,137,1,272,2,failure,no
24,student,single,secondary,no,745,yes,no,telephone,8,apr,93,2,-1,0,,no
38,management,married,tertiary,no,5506,no,no,cellular,20,nov,74,1,-1,0,,no
49,entrepreneur,married,primary,no,10772,no,no,cellular,8,aug,89,2,-1,0,,no
47,technician,married,secondary,no,293,no,no,cellular,3,mar,499,1,-1,0,,yes
58,management,married,tertiary,no,0,no,no,cellular,28,aug,67,19,-1,0,,no
35,unemployed,married,tertiary,no,1849,yes,no,cellular,15,may,111,1,-1,0,,no
48,blue-collar,married,secondary,no,101,no,no,cellular,14,jul,549,3,-1,0,,no
35,self-employed,single,tertiary,no,329,yes,no,cellular,20,apr,19,7,-1,0,,no
56,management,married,primary,no,7747,no,no,,5,jun,103,2,-1,0,,no
45,blue-collar,married,primary,no,-455,yes,yes,cellular,31,jul,161,2,-1,0,,no
51,unemployed,married,primary,no,0,no,no,,5,jun,23,2,-1,0,,no
55,technician,married,secondary,no,1004,yes,yes,,27,may,224,1,-1,0,,no
39,management,married,tertiary,no,198,no,no,cellular,8,jul,665,1,-1,0,,no
42,blue-collar,married,primary,no,1532,yes,no,cellular,23,jul,98,3,-1,0,,no
44,blue-collar,married,primary,no,0,yes,no,cellular,6,may,17,1,-1,0,,no
37,technician,married,tertiary,no,732,no,no,cellular,25,may,354,1,-1,0,,no
44,technician,divorced,secondary,no,414,yes,yes,,6,jun,81,2,-1,0,,no
40,self-employed,married,tertiary,no,271,yes,no,cellular,11,aug,265,4,-1,0,,no
30,blue-collar,married,primary,no,554,yes,no,,27,may,89,5,-1,0,,no
36,services,married,secondary,no,5024,no,no,,21,may,139,1,-1,0,,no
66,retired,married,primary,no,388,no,no,cellular,17,sep,152,2,-1,0,,no
58,management,married,tertiary,no,3228,no,no,cellular,19,aug,58,2,-1,0,,no
35,blue-collar,married,secondary,no,-100,yes,no,telephone,9,feb,13,7,272,9,failure,no
30,blue-collar,married,secondary,no,3,yes,yes,cellular,12,may,326,2,-1,0,,no
40,services,divorced,secondary,no,5766,yes,yes,,28,may,385,1,-1,0,,no
45,technician,divorced,tertiary,no,917,no,no,cellular,27,aug,144,8,-1,0,,no
27,technician,single,tertiary,no,667,no,no,cellular,29,jan,866,2,-1,0,,yes
32,technician,married,secondary,no,-413,yes,no,cellular,13,aug,100,2,-1,0,,no
25,management,single,tertiary,no,362,no,no,cellular,3,jun,617,2,-1,0,,yes
40,admin.,married,tertiary,no,1108,no,no,cellular,26,oct,61,2,76,3,failure,no
36,blue-collar,married,secondary,no,56,yes,no,cellular,9,jul,183,1,-1,0,,no
43,services,single,tertiary,no,553,no,no,cellular,11,may,323,1,-1,0,,no
83,retired,divorced,primary,no,1097,no,no,telephone,5,mar,181,1,-1,0,,yes
