age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
36,management,married,tertiary,no,0,yes,no,cellular,18,nov,72,1,-1,0,failure,no
35,self-employed,single,secondary,no,524,yes,no,cellular,21,nov,14,7,-1,0,other,no
30,management,single,secondary,no,0,yes,no,cellular,13,may,309,2,-1,0,failure,no
48,services,married,secondary,no,622,yes,no,cellular,8,may,182,2,-1,2,failure,no
33,services,single,secondary,no,0,yes,no,cellular,20,apr,120,1,0,2,failure,no
24,student,single,secondary,no,745,no,no,telephone,8,jan,93,2,-1,0,other,no
08,management,married,secondary,no,5506,yes,no,cellular,20,nov,047,1,-1,0,failure,no
49,entrepreneur,married,primary,no,10772,yes,no,cellular,8,aug,89,2,478,3,failure,no
25,student,married,secondary,no,1500,no,no,cellular,3,mar,120,2,-1,0,success,yes
30,management,married,tertiary,no,1000,no,no,cellular,8,aug,120,1,-1,0,success,yes
57,management,married,tertiary,no,1849,yes,no,cellular,15,apr,111,1,261,3,failure,no
48,blue-collar,married,secondary,no,1000,yes,no,cellular,5,jul,120,3,0,0,success,yes
30,self-employed,single,tertiary,no,1500,yes,no,cellular,20,may,19,2,0,0,failure,no
30,management,married,primary,no,1000,yes,no,cellular,5,jun,120,1,-1,0,success,no
45,blue-collar,single,tertiary,no,-455,yes,yes,cellular,31,jul,172,1,93,0,failure,no
30,unemployed,married,primary,no,0,yes,no,cellular,5,jun,120,2,0,0,success,no
55,technician,married,secondary,no,0,yes,yes,cellular,1,jan,22,1,0,0,other,no
29,management,married,tertiary,no,198,no,no,cellular,8,oct,665,1,140,2,failure,no
42,services,married,primary,no,1167,yes,no,cellular,16,jul,98,3,-1,0,failure,no
07,blue-collar,married,secondary,no,0,yes,no,cellular,6,may,007,1,-1,0,other,no
37,services,married,tertiary,no,732,yes,no,cellular,8,may,182,2,-1,0,failure,no
44,technician,single,secondary,no,414,yes,no,cellular,5,may,81,2,0,0,failure,no
40,self-employed,married,tertiary,no,271,no,no,cellular,1,aug,265,4,0,0,other,no
30,blue-collar,married,secondary,no,50000,yes,no,cellular,27,may,89,5,-1,0,other,no
36,services,married,secondary,no,0,yes,no,cellular,2,mar,139,1,-1,0,other,no
29,retired,married,primary,no,270,no,no,cellular,17,oct,152,2,274,11,failure,no
30,management,married,tertiary,no,3228,no,no,cellular,1,mar,150,2,-1,0,other,no
35,blue-collar,married,secondary,no,759,yes,no,telephone,7,feb,172,1,272,9,failure,no
30,blue-collar,single,secondary,no,0,yes,yes,cellular,12,may,326,2,-1,0,other,no
48,services,divorced,secondary,no,0,yes,yes,cellular,28,may,120,1,0,0,success,no
30,technician,single,tertiary,no,1000,no,no,cellular,27,aug,120,8,0,0,success,yes
25,technician,single,tertiary,no,1000,no,no,cellular,1,jan,866,2,0,0,success,yes
25,student,married,secondary,no,-413,yes,no,cellular,5,aug,100,1,-1,0,failure,no
20,student,single,tertiary,no,3000,no,no,cellular,1,jan,617,1,-1,0,failure,no
34,admin.,married,tertiary,no,3047,no,no,cellular,30,oct,61,1,76,3,failure,no
36,blue-collar,single,secondary,no,-679,yes,yes,cellular,9,jul,172,1,93,0,failure,no
43,services,single,tertiary,no,0,no,no,cellular,11,may,10,1,-1,0,failure,no
53,blue-collar,divorced,primary,no,1097,no,no,telephone,18,mar,248,1,279,0,failure,yes
35,self-employed,single,secondary,no,524,yes,no,cellular,2,feb,98,1,-1,0,failure,no
34,management,married,tertiary,no,3047,no,no,cellular,30,apr,61,1,76,3,failure,no
30,admin.,single,tertiary,no,33,yes,no,cellular,1,jan,396,1,0,0,failure,no
60,admin.,married,secondary,no,0,yes,no,cellular,1,may,0,1,-1,0,failure,no
24,services,single,secondary,no,0,yes,no,cellular,8,may,211,2,337,0,other,no
30,admin.,married,secondary,no,58544,yes,no,cellular,5,oct,120,2,-1,0,failure,no
59,unemployed,single,secondary,no,0,yes,no,cellular,1,may,10,1,-1,0,failure,yes
47,self-employed,divorced,secondary,no,524,yes,no,cellular,20,nov,14,7,-1,4,other,no
25,management,married,primary,no,1727,no,no,telephone,5,may,500,1,358,0,failure,yes
25,technician,single,secondary,no,24,yes,no,cellular,5,aug,136,1,0,0,failure,no
43,admin.,married,secondary,no,1937,yes,no,cellular,5,may,80,1,-1,2,failure,no
27,student,single,secondary,no,538,no,no,cellular,5,jun,10,2,-1,0,other,yes
30,admin.,single,secondary,no,-679,yes,yes,cellular,7,apr,66,1,93,1,failure,no
31,management,married,secondary,no,2294,no,no,cellular,20,aug,483,1,0,0,failure,no
53,blue-collar,married,primary,no,1103,no,no,cellular,22,jul,274,5,279,2,failure,no
04,blue-collar,married,secondary,no,0,yes,no,cellular,18,aug,10,1,0,0,failure,no
25,student,single,secondary,no,100,no,no,cellular,5,may,120,1,0,0,success,yes
30,student,single,secondary,no,1500,no,no,cellular,3,may,120,3,0,0,success,yes
51,blue-collar,married,primary,no,864,yes,no,cellular,13,jan,3321,1,-1,0,other,no
30,blue-collar,single,secondary,no,-100,yes,no,cellular,5,jul,231,1,-1,0,failure,no
02,management,single,tertiary,no,0,no,no,cellular,1,jan,120,1,-1,0,failure,no
09,student,single,secondary,no,0,no,no,cellular,6,jun,10,1,-1,0,failure,no
33,services,married,secondary,no,0,yes,yes,cellular,7,aug,80,2,-1,0,failure,no
27,unemployed,single,tertiary,no,0,yes,no,cellular,1,jan,344,1,-1,0,failure,no
25,admin.,married,tertiary,no,685,yes,no,cellular,5,may,120,1,-1,0,success,yes
38,admin.,married,secondary,no,0,yes,no,cellular,1,jan,193,2,0,0,other,no
52,technician,married,secondary,no,13410,no,yes,cellular,14,aug,149,2,189,0,other,no
35,management,single,tertiary,no,62,yes,no,cellular,1,apr,2,1,0,0,other,yes
25,management,single,secondary,no,448,no,no,cellular,5,mar,120,1,0,0,success,yes
36,student,single,tertiary,no,-679,yes,no,cellular,7,may,172,1,-1,0,failure,no
30,management,married,secondary,no,1000,no,no,cellular,5,aug,129,1,0,0,success,yes
47,technician,divorced,primary,no,0,yes,no,cellular,1,jan,0,1,-1,0,failure,no
43,technician,single,secondary,no,629,yes,no,cellular,5,aug,68,1,-1,0,failure,no
25,student,single,secondary,no,4731,yes,no,cellular,5,jun,120,1,-1,0,success,yes
43,blue-collar,married,primary,no,0,yes,no,cellular,5,may,87,2,0,0,other,no
48,blue-collar,single,primary,no,0,yes,no,cellular,1,jan,10,1,0,0,success,no
30,technician,divorced,secondary,no,1000,yes,no,cellular,5,jun,120,1,0,0,success,no
30,blue-collar,single,secondary,no,1000,no,no,cellular,8,jul,120,2,0,0,success,yes
30,management,married,tertiary,no,2500,yes,no,cellular,26,may,107,2,0,0,failure,no
30,student,single,tertiary,no,1531,yes,no,cellular,5,mar,81,3,170,0,failure,no
05,technician,married,secondary,no,1174,yes,no,cellular,15,may,301,1,-1,0,other,yes
30,technician,divorced,secondary,no,1000,yes,no,cellular,4,aug,120,1,0,1,success,yes
05,blue-collar,married,secondary,no,410,yes,no,cellular,2,feb,001,1,0,0,other,no
59,services,married,secondary,no,0,yes,no,cellular,1,jan,74,3,0,0,other,yes
30,management,divorced,tertiary,no,726,yes,no,cellular,1,jan,24,1,-1,0,other,no
29,blue-collar,married,tertiary,no,270,yes,no,cellular,18,nov,166,2,274,5,failure,no
59,management,married,tertiary,yes,782,no,no,cellular,13,oct,17,2,-1,0,failure,no
55,retired,married,secondary,no,75,yes,no,cellular,14,may,120,1,370,0,failure,no
58,unemployed,single,secondary,no,670,no,no,cellular,5,jun,0,1,-1,0,failure,no
48,services,married,secondary,no,202,yes,no,cellular,1,jan,1,1,-1,0,failure,no
36,self-employed,married,tertiary,no,953,yes,no,cellular,20,aug,13,10,-1,2,failure,no
52,management,married,primary,no,0,yes,no,cellular,30,jan,10,2,0,0,other,no
30,management,married,tertiary,no,1000,no,no,cellular,20,jun,120,7,-1,0,failure,yes
04,blue-collar,married,secondary,no,0,yes,no,cellular,12,jan,10,1,0,0,other,no
38,management,married,tertiary,no,529,yes,yes,cellular,21,nov,673,2,123,0,failure,no
46,management,married,primary,no,39,no,no,cellular,5,feb,295,2,1,1,failure,yes
54,housemaid,single,primary,no,3304,no,yes,cellular,25,jul,90,5,93,0,failure,no
05,student,married,secondary,no,602,no,no,cellular,3,mar,113,1,-1,0,failure,no
39,blue-collar,married,secondary,no,327,yes,no,cellular,5,may,120,1,0,0,failure,no
29,management,single,tertiary,no,54,no,yes,cellular,1,jan,257,1,-1,0,other,no
36,admin.,married,secondary,no,631,no,no,cellular,9,aug,440,5,182,2,failure,no
47,management,divorced,tertiary,no,0,yes,no,cellular,3,jan,120,1,-1,0,other,no
47,management,married,tertiary,no,2907,yes,no,cellular,12,jul,248,1,-1,0,failure,no
56,blue-collar,married,secondary,no,0,no,no,cellular,1,may,10,1,0,0,other,no
33,blue-collar,married,primary,no,0,yes,no,cellular,1,mar,302,1,0,0,other,no
31,admin.,single,secondary,no,202,yes,no,cellular,7,may,590,1,302,0,other,no
35,blue-collar,single,tertiary,no,262,no,yes,cellular,7,sep,172,1,93,6,failure,no
47,management,divorced,tertiary,no,8106,no,no,cellular,20,nov,14,1,-1,4,other,no
25,technician,single,tertiary,no,9154,yes,no,telephone,4,oct,40,5,-1,0,failure,no
46,admin.,divorced,secondary,no,-363,no,no,cellular,30,jul,120,11,-1,0,failure,no
26,unemployed,single,secondary,no,712,no,no,cellular,6,may,193,1,-1,0,failure,yes
49,management,single,tertiary,no,0,no,no,cellular,1,jan,14,1,-1,0,failure,no
30,services,single,secondary,no,183,yes,no,cellular,5,jul,60,1,-1,0,failure,no
37,admin.,married,secondary,no,320,yes,no,cellular,12,nov,352,1,828,2,failure,yes
33,admin.,single,secondary,no,5,yes,no,cellular,7,may,934,1,-1,2,failure,no
51,blue-collar,married,secondary,no,0,yes,no,cellular,21,nov,8,6,-1,0,failure,no
32,blue-collar,married,secondary,no,378,yes,no,cellular,14,oct,566,2,-1,0,failure,yes
44,unemployed,married,primary,no,51,yes,no,cellular,30,apr,289,4,-1,2,failure,no
51,management,married,tertiary,no,0,no,no,cellular,3,jan,120,1,-1,0,failure,no
37,management,married,tertiary,no,1300,yes,no,cellular,5,may,120,1,-1,0,failure,no
42,blue-collar,married,tertiary,no,494,no,no,cellular,5,may,319,2,478,3,failure,no
65,admin.,married,tertiary,no,494,no,no,telephone,28,oct,149,2,478,3,failure,no
48,management,single,tertiary,no,0,no,no,cellular,5,aug,120,7,-1,0,failure,no
30,services,divorced,secondary,no,1000,yes,no,cellular,5,may,120,4,-1,0,failure,no
29,blue-collar,single,tertiary,no,3122,yes,no,telephone,18,aug,51,12,140,0,failure,no
31,services,single,tertiary,no,516,yes,no,cellular,5,may,227,2,-1,0,failure,no
42,technician,married,tertiary,no,240,yes,no,cellular,30,oct,120,1,0,0,failure,no
33,services,single,secondary,no,-329,yes,no,cellular,9,apr,113,1,-1,0,other,no
34,admin.,single,tertiary,no,153,yes,no,cellular,15,may,228,2,302,1,other,no
03,student,single,tertiary,no,1696,yes,no,cellular,1,aug,20,1,0,3,failure,no
30,retired,married,tertiary,no,208,no,no,cellular,5,jun,120,1,0,0,success,no
45,unemployed,divorced,primary,yes,-249,yes,no,cellular,1,jul,10,1,-1,0,failure,no
25,technician,married,secondary,no,84,no,no,cellular,2,may,120,1,-1,0,failure,no
45,blue-collar,divorced,tertiary,no,-317,yes,no,cellular,26,may,768,2,-1,5,success,no
58,services,married,secondary,no,0,yes,no,telephone,29,jul,60,1,-1,0,other,yes
32,admin.,married,secondary,no,1974,no,no,cellular,30,may,104,1,0,0,failure,no
53,blue-collar,married,secondary,no,-162,yes,no,cellular,2,jul,81,2,-1,2,failure,no
36,self-employed,married,tertiary,no,754,no,no,cellular,17,nov,78,1,0,0,failure,no
25,management,single,secondary,no,0,no,no,cellular,18,jan,120,1,-1,0,failure,no
03,management,single,tertiary,no,0,yes,no,cellular,20,jan,10,1,0,0,failure,no
