AAGE,ACLSWKR,ADTINK,ADTOCC,AHGA,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,GAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MARSUPWRT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,AHRSPAY,year,income
34, Private,2,3, High school graduate, Not in universe, Married-civilian spouse present, Other professional services, Executive admin and managerial, White, All other, Female, No, Not in universe, Full-time schedules,0,0,50, Joint both under 65, Not in universe, Not in universe,Householder,Spouse of householder,2.00, Nonmover, Nonmover, Nonmover, Yes, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,52,0,94,-50000
18, Not in universe,0,0, High school graduate, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Female, No, Not in universe, Not in labor force,0,0,5, Nonfiler, Not in universe, Not in universe, Child under 18 never marr not in subfamily, Child under 18 never married,251.05, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,0,0,0,94,-50000
03, Not in universe,03,0, 9th grade, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Midwest, Minnesota, Grandchild 18+ never marr not in subfamily, Child 18 or older,4423.61, MSA to MSA, Same county, Same county, No, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,2,0,0,95,-50000
0,Not in universe,0,0, Children, Not in universe, Never married,Not in universe or children,Not in universe, White,Mexican (Mexicano),Female,Not in universe, Not in universe, Children or Armed Forces,0,0,1,Nonfiler, Not in universe,Not in universe,Child <18 never marr not in subfamily,Child under 18 never married,1391.12,Not in universe,Not in universe,Not in universe, Not in universe under 1 year old,No,0,Both parents present, Mexico, Mexico, United-States,Native- Born in the United States,0,Not in universe,0,0,0,94,50000+.
70, Not in universe,01,0, Some college but no degree, Not in universe, Widowed, Not in universe or children, Not in universe, Black, All other, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Nonrelative of householder,1855.82, Nonmover, Nonmover, Nonmover, No, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,2,01,0,94,-50000
10, Not in universe,0,0, Children, Not in universe, Never married, Not in universe or children, Not in universe, Other, Mexican (Mexicano), Female, No, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child under 18 never married, Child under 18 never married,1950.33, Nonmover, Nonmover, Nonmover, No, No,0, Neither parent present, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, No,0,0,0,94,-50000
0, Not in universe,0,0, High school graduate, Not in universe, Widowed, Not in universe or children,Not in universe, White, All other,Female,Not in universe,Not in universe,Not in labor force,0,0,0, Nonfiler, Not in universe, Not in universe, Nonfamily householder, Householder,1006.52,Not in universe,Not in universe,Not in universe, Not in universe under 1 year old,Not in universe,0, Not in universe, United-States, United-States, United-States,Native- Born in the United States,0, Not in universe,0,0,0,95,-50000
25,Never worked,0,01, Children, Not in universe,Never married,Not in universe or children,Not in universe, White,All other,Male, Not in universe, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe,California, Child <18 never marr not in subfamily, Child under 18 never married,2673.00,Nonmover,Same county,Same county,No,No,0, Both parents present,United-States, United-States, United-States,Native- Born in the United States,0,No,0,01,3000,95,-50000
25, Not in universe,0,0, High school graduate, Not in universe, Never married, Not in universe or children, Not in universe, Black, All other, Male, No, Not in universe, Children or Armed Forces,0,0,0, Nonfiler, Not in universe, Not in universe, Child <18 never marr not in subfamily, Child under 18 never married,1641.2, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Father only present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,1000,95,-50000
58, Self-employed-not incorporated,2,D, 10th grade, High school, Married-spouse absent, Agriculture, Farming forestry and fishing, White, All other, Male, No, Not in universe, Full-time schedules,0,0,0, Single, Not in universe, Not in universe, Nonfamily householder, Householder,999.99, Not in universe, Not in universe, Not in universe, No, No,0, Neither parent present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,56,0,94,-50000
04, Private,4,2, High school graduate, Not in universe, Divorced, Construction, Not in universe, White, All other, Female, No, Not in universe, Children or Armed Forces,0,0,0, Head of household, Not in universe, Not in universe, Householder, Householder,1813.50, Nonmover, Nonmover, Nonmover, No, Not in universe,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,2,05,1275,94,50000+.
38, Private,31,31, High school graduate, High school, Married-A F spouse present, Personal services except private HH, Other service, Black, All other, Female, Not in universe, Not in universe, Full-time schedules,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1N13.5, Nonmover, Same county, Same county, Not in universe under 1 year old, No,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, No,0,52,0,95,-50000
41, Private,01,4, Bachelors degree(BA AB BS), Not in universe, Married-civilian spouse present, Manufacturing-durable goods, Professional specialty, White, All other, Male, No, Not in universe, Children or Armed Forces,0,0,5, Joint both under 65, Not in universe, Not in universe, Householder, Householder,792.51, Nonmover, Nonmover, Nonmover, Yes, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,01,0000,94, 50000+.
29, Private,1,01, 1st 2nd 3rd or 4th grade, High school, Married-civilian spouse present, Agriculture, Farming forestry and fishing, White, Mexican (Mexicano), Female, Not in universe, Job loser - on layoff, Unemployed full-time,0,0,0, Joint both under 65, Not in universe, Not in universe, Spouse of householder, Spouse of householder,1702.15, Nonmover, Not in universe, Not in universe, Not in universe under 1 year old, No,0, Both parents present, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0, No,0,0,0,95,-50000
50, Private,12,12, Bachelors degree(BA AB BS), College or university, Married-civilian spouse present, Manufacturing-durable goods, Executive admin and managerial, White, Mexican-American, Male, Not in universe, Not in universe, Full-time schedules,0,0,00, Joint both under 65, Not in universe, Texas, Spouse of householder, Spouse of householder,1069.42, Nonmover, Same county, Same county, Not in universe under 1 year old, No,6, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, No,2,52,5000,95, 50000+.
47, Self-employed-not incorporated,01,09, 12th grade no diploma, High school, Married-civilian spouse present, Transportation, Transportation and material moving, White, All other, Male, Not in universe, Not in universe, Full-time schedules,7298,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,478.05, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, No,1, Neither parent present, United-States, United-States, United-States, Native- Born in the United States,0, No,0,52,0,95,-50000
26, Private,26,26, Some college but no degree, Not in universe, Married-civilian spouse present, Manufacturing-nondurable goods, Adm support including clerical, White, All other, Male, Not in universe, Job loser - on layoff, Not in labor force,0,2051,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,1034.16, Nonmover, Not in universe, Nonmover, Yes, Not in universe,5, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,40,0,94,-50000
18, Not in universe,0,0,Children,High school, Never married,Not in universe or children, Not in universe,White,All other,Female, Not in universe, Not in universe,Children or Armed Forces,0,0,0,Single,Not in universe, Not in universe,Child <18 never marr not in subfamily,Child under 18 never married,1832.26,Nonmover, Nonmover, Nonmover,No, Not in universe,0,Both parents present, United-States, United-States,United-States,Native- Born in the United States,0,No,0,0,1000,95,-50000
05, Private,32,16, High school graduate, High school, Married-civilian spouse present, Wholesale trade, Sales, White, Mexican-American, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Joint both under 65, Not in universe, Not in universe, Householder, Householder,200.00, Not in universe, Not in universe, Not in universe, Not in universe, Not in universe,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,05,0,94,-50000
6, Not in universe,01,0, High school graduate, Not in universe, Never married, Not in universe or children, Not in universe, White, Mexican-American, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Single, Not in universe, Not in universe, Child under 18 never married, Child under 18 never married,000.00, Not in universe, Not in universe, Not in universe, Not in universe under 1 year old, Not in universe,0, Both parents present, Mexico, United-States, United-States, Native- Born in the United States,0, No,0,00,0,95,-50000
18, Not in universe,0,0, Some college but no degree, College or university, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Not in labor force,0,0,0, Single, Not in universe, Not in universe, Child 18+ never marr Not in a subfamily, Child 18 or older,2738.79, Nonmover, Nonmover, Nonmover, Yes, No,0, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,0,95,-50000
00,Not in universe,0,00, Some college but no degree,College or university,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Male, Not in universe,Not in universe,Not in labor force,0,0,00,Single, Not in universe, Not in universe,Child 18+ never marr Not in a subfamily,Child 18 or older,0000.00,Nonmover, Nonmover,Nonmover, Yes, Not in universe,4,Not in universe,United-States,United-States,United-States, Foreign born- U S citizen by naturalization,0, Not in universe,2,8,0,94,-50000
0, Not in universe,0,0,Children,Not in universe, Never married, Not in universe or children, Not in universe, White,All other, Female, Not in universe,Not in universe,Not in labor force,0,0,0,Nonfiler,Not in universe, Not in universe, Child <18 never marr not in subfamily,Child under 18 never married,123.45,Not in universe,Not in universe,Not in universe, Not in universe under 1 year old,No,0,Both parents present,United-States, United-States, United-States,Native- Born in the United States,0,No,0,1,0,95,50000+.
