age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
25,Private,33000,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
04,Private,98270,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,11248,Some-college,10,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
30,Private,149994,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
38,Private,161000,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,>50K
29,Private,54116,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
08,Private,186720,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,50,United-States,<=50K
19,Private,286000,Some-college,13,Never-married,Adm-clerical,Own-child,White,Female,594,0,40,United-States,<=50K
22,Private,46064,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
56,Private,50000,HS-grad,9,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
38,Private,289653,Bachelors,13,Never-married,Other-service,Unmarried,White,Male,0,0,40,United-States,>50K
04,Private,31542,5th-6th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,105000,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
41,Private,197000,HS-grad,12,Never-married,Other-service,Not-in-family,White,Male,0,0,50,United-States,<=50K
25,Private,86000,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
23,Private,58900,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
46,Self-emp-not-inc,123456,Some-college,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
47,State-gov,61062,Doctorate,16,Separated,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,44,United-States,>50K
25,Private,195000,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,40,United-States,<=50K
25,Private,69669,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Puerto-Rico,>50K
30,Private,234000,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
67,Federal-gov,294466,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,54290,HS-grad,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2042,40,United-States,<=50K
24,Private,56100,HS-grad,7,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
30,Private,123456,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
57,Private,178154,10th,10,Widowed,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,123456,HS-grad,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
56,Private,127264,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,34,United-States,>50K
30,Private,123456,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,40,United-States,>50K
25,Private,200000,HS-grad,12,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
30,Federal-gov,49210,HS-grad,12,Divorced,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
39,Private,76600,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,40,United-States,>50K
02,Private,69400,HS-grad,12,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
28,Private,42371,Assoc-voc,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
30,Private,123456,HS-grad,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,Haiti,>50K
07,Private,31128,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States,>50K
30,Private,123456,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,6725,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,123456,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
25,Private,123456,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
