age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
v3_,=nagemnt,marrie!d,,nno,5u3+,yes,,cefluGar1,0`),nHo,72,8&,-#1,Aw,,`dn
35,self-mployed,MmIarried,seco+ndary,o,52+\,NIesG,M,cellular,Tvq,nov,+0,4D,E>,0cW,,
,maQna2gmeRnXt,6mrrd,Esecondary,ar,j,yeUms,ny,,13,mamE,}309,F,mf1,y,,l
!),,#married,secondary,{c,RX2,ye;L,54,e.laA,2vr,/y?^4,N,,-1,&60,,qnoE
,tech}cwaA,"ar""rie&d+",econdary,,+?:0,,q,Wcelkular,,apr,3Pw,{,^7YU,9q:+2,fai?z{lre,o
24,stFudeLt,,sco$ry`,no,ao,ys,,oLleyhone,V,a,.3t,2,A8,0H,,M
j8m.,management,marrie,,-n,yP50N,ra,u,cllRu-ar,20,,),,r1,?0t,,n
49F,e:ntrerrneuB,marte`,primary,~nn@,100j2{,n2,,ellula,S,"a6L,5g",}9p,,/-:,WF,,(oE
A lh,teX^_ni_cian,arri;ed,seaonaryY,no,29o,#o,?no,"cel"",ur",:N.,mfar,49N9,,E-1,;,,es
"5,""",anag*ement,married,terija,no,6pJ,no,,cellular,l28,,X27,,-1,V,,a0
5/,neR8loyed,>arr-)ud,eriCa*ry,_,1o49-,D,}no,cellul(`,?5,my,111,,bD?,,,nho
|,bl(ue-olar,aR^rMied,secondary,n.,,Go.,po,cellulaS(r,f14q=_,Kju6$,,C,-a1j,Y[,,nohw
?,,sig`/`,trtia`ry,*,#,+@y?,n,cNL`el]lular,i0,?.M,19,~m,,,,no
#,^maatment,arried,priptry,nuo,g74,,po,,c|,[,",3\",;}2,-1,)G,,o
45,=lue^cwo{llar,marlied,*piIra6y,5nCo,YHN5,yeE,`j,eDllr,W,Wjul,`1,,,~,,O
-?,,m9rrie5,primary,Cno{.,U0,GoD,.,,`h,K_On,,r,-1<,,,no
5\,te5g7hnic)ian,9aXred,secondary, o,1~04,9Qes,Bes,,47,ay,`9S,,K,,,D
9},ma&aNe-cent,married,tertia]yb:,,"1""",,n;,DcelulIqa,8,,6)u,,9$1T,,,i~X
-,bue-cxll/ar,",YFarrMid",ijary,8,n532,ye,",n>",;el#lulart,,jw-,,D,V,m,,Z5
/)44,bdue-c+llar,amar]ie:,limary,",e",$,q@y^,,e:l%laMr,Q,my,W,1,-1,qv:,,7n
[,temchnician,married,&tertGiary,, 2(,n,Ho,0cellula,<,m%s:t,r5,"P""",},N,,n
>,tehnician:,divorce,se+cndary,,414,yesK,Zs,,p,xAnu,^81,,,0,,n
,self-employed,"mcarr,ied","Ot""Z%tiary",n,!,Mes,no,ceQl:lar,jw,ZH8,q5J,4,1[,,,c=
YmV0,blFuw-coll9r,mgarrieJd,priBma/`y,o#,5KX4,sK,3I,,27,jag,V9,,KH,NeV,,nmo
,serices,arred,,q[,,nh@\,w6,,21F,m7yf,>,1,"""-",,,
,retired,fmarrhed,,no,q38,'n8,l<,cellular,|7,sIyp,,,{2,,,n1
C]8,xanagement,married,&tertiary,no,3228,eo,,elul},,a;g,,2,-k1,4;L,,noj
35,bluey-col]ar,marrrzd,secondary,@,=w_0,UsY,no,teleph_Fe,,,,+f,272,9,,j{p
3z,blue-colzlar,mtrried,secondary,dO,r3,w!5,[=es,ellu{1r,"l1""6",,326J,2,gTJ13,|Im,,b{
Ln,sevlces,,seDondary,no,562@X,ye, e,,28,m2T,8aX,{,,0,,","
5,tGeVhnilcia'n,6dvo[cd,tegptiry,,p,8s,l,celllar,nR,,)4w,8,u%|1,,,
qyiBw,teni4cian,sinle,tertiary,SZ/4+,LH6m7,nfn,"o""",cellvla,K,,8<665KL,2,f-1,qN01n,,T?
2,t#6eAcnicin,mwiEed,teco dZy,Q}>o,-413,0ysY,8,,1c,ugV,1=ec00,,z|Pq0,,,p
Z,"managGmen"")",B&}nglR,tMiry,,3^6C2,,,ce~ula,=BA,juo,k7R,0,C,F4(,,e
3,amin.,m(irid,tertiary,,v1dW8,Go,n+o,"celluna5""r",R,5 &t,,L<,v,,failure,O
