age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,Private,200000,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
78,Private,213136,Assoc-acdm,12,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K
19,Private,82049,Some-college,9,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
46,Private,149949,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Private,123456,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,>50K.
33,Private,254146,12th,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States,<=50K.
33,Private,186720,Some-college,10,Never-married,Other-service,Unmarried,White,Male,0,0,50,United-States,<=50K.
19,Private,208656,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,594,0,20,United-States,<=50K
02,Private,44000,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
56,Private,123456,Bachelors,14,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
38,Private,28963,Bachelors,14,Divorced,Sales,Unmarried,White,Male,0,0,40,United-States,>50K.
48,Private,315423,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,105141,Some-college,8,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K.
41,Private,238816,Assoc-voc,11,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,50,United-States,<=50K
25,Private,87000,10th,6,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
23,Self-emp-inc,71009,Bachelors,7,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,7298,0,55,United-States,<=50K
84,Self-emp-not-inc,155057,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
47,State-gov,238816,Assoc-voc,11,Separated,Tech-support,Own-child,Asian-Pac-Islander,Male,2354,0,45,United-States,<=50K.
30,Private,123456,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,<=50K
30,Private,169200,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
39,Private,238816,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K.
61,Federal-gov,294466,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,35429,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2042,40,United-States,<=50K
26,Private,27591,11th,7,Never-married,Transport-moving,Own-child,White,Male,0,0,39,United-States,<=50K
23,Self-emp-not-inc,214236,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,35,United-States,<=50K.
57,Private,178154,Some-college,10,Widowed,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K.
33,Private,29658,HS-grad,8,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,>50K
05,Private,72640,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,34,United-States,<=50K.
61,Private,294466,Some-college,11,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
19,Private,207173,Some-college,9,Separated,Craft-repair,Husband,White,Female,0,0,30,United-States,<=50K
23,Federal-gov,214236,9th,5,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K.
33,Private,179668,12th,13,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K.
24,Private,29200,Some-college,12,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
30,Private,423616,HS-grad,12,Married-civ-spouse,Sales,Husband,White,Female,0,0,36,United-States,<=50K
03,Self-emp-inc,343872,Some-college,12,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,35,Haiti,<=50K
23,Private,214236,11th,7,Never-married,Exec-managerial,Own-child,White,Female,0,0,24,United-States,<=50K.
30,Private,123456,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,236246,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
