AAGE,ACLSWKR,ADTINK,ADTOCC,AHGA,AHSCOL,AMARITL,AMJIND,AMJOCC,ARACE,AREORGN,ASEX,AUNMEM,AUNTYPE,AWKSTAT,CAPGAIN,GAPLOSS,DIVVAL,FILESTAT,GRINREG,GRINST,HHDFMX,HHDREL,MARSUPWRT,MIGMTR1,MIGMTR3,MIGMTR4,MIGSAME,MIGSUN,NOEMP,PARENT,PEFNTVTY,PEMNTVTY,PENATVTY,PRCITSHP,SEOTR,VETQVA,VETYN,WKSWORK,AHRSPAY,year,income
, PriPqvte,314\,;3{*, High school grad[uate,#Not in unieHre, arrsied-civiian spouse present, Fnan1c insurance asnd real estate, Executive admin and managerial, Whlise;, ill other, Fmale,lo, NKot in uMiversek, Children or Arm:ed Forces,?,,b, JoiL both under65, j.o in univ~rse,Not in unilverse, Souse of hus-holder,Spouse ofDhoWuseol/er,21Y8?.], Nonmover, onv}ef, Nomoer, veW, Not in vunive)sHeo,6, Not in *ni3veqse,v:Unied-tartes, UMnited-4tate*, United-States, NatVve- Born in the United States,, Not ipn 5universe,#,n2,%o,9~,
_, Not in universe,,V,Ch6dren, Not in universe, @eSer married,MNot n uivers*e or childrn, Not inuniverse, Wh+%e, CAl otevr, Female, Not in universfe,, Cildren or Arm(ed Fo]ces,,%,j, >Nnfilr, N!ot in uniQrse, Not in niver$, Child <18 nejver marr not insubfamily, Child under 18 never ]married,,,,, Not in universe under 1 year old,,, Both parents present, United4Sates, Uied-Stts,c}Unite-|States, Native- Born in the UnitedGStates,3, Not jcn univoere,+?,0,!0,h5,-52D0000
, Not in universe,M,)g, 9th gade, Not in universe, Ne>er m7r7ieQ, Nt in unive;se o_r childen,otin ujni\verse, Bl'!aUck, AlXDl o!hr, Male, Nt 7n uiverse, Not in 4r1universe,,,"0""",0, Nonfiler, Midwest, Minneota,, Other relative Zf housJEolder,4423.61,SA tKMA, Sme co nty, SaNme cuountOm, No,,8, Na5-t iq universe,i Unted-Stadt , UnitedStates, U{ited-Stat[s}, NativeZ- Born in the United States,X, No in universe,,O,0,"9,;", 500^
]6X, Not in ucnive1Brs,?yl,},, Nqot inniMersg, Ner &ar>ie0, oM in universe or chilYdrBn,, Wite, Mexican (Me^iEScano), >e'a8e, Not in unierse, Nt 8inN niverse, Children or dArme] Forces,V,dQ.,C,MNoYnfrileo, Not in uPiverse, Not{in universe, ChYild <18never m|rr not in subfamil_y, Child uJd8er 18 ever ~married,1391.12,,,,Not in universe under 91year Ul8,,, Botm parents preWsent;, MexicoQ,Mdexib, UniteR-Stats~,,v," Not inunive""se",6?0,8D,,"""",-500x00
R0, Not in universe,,-, Soe college but no degreXe, NoYt iuniver!,dWidowed, Not in univere o.r children, Not in uivez+se,[ Blc=k, Allother,UFbkal, Not in universe, Not in niverse,,,m5,(,d Si>rgle, Not in PniverZe, Not in universe, Nonfamily householGder, Houqse3*holder,, Nonmoveb,Non5e, NoAmover,H1e, Not in universe,>8, Not in univere), Unitded-S>atjH, O=ited-Sat\s, Un$Hed-LSTtates, Native- Born in the United Sate3,"""<)", Uot kn unvere,s2,:{m,L,,-50000
1P, Not in universe,:0oe,,. EhilreDn, No| Din universe,, Not7in iverse !or childen,NKot i universe,W_te, Mexicaf&n (hexica*o),c H2=em;le, Nobt iq univbrs, Not in )u.iverse, Childkren or! MArmed Forces,,,be, rHnfiler, Not in universe, Not in univese,Child <18 never marr not in subfamily, Ch/ild under 1O8 never marrCed,19@50.3,,>No15o)ve, No&over,Yes, Not in uni1vere,, Both parent present,,, eQxpio, Foreign born- Not a citizen uf U S ,ls,,P@,,C ,94,-5000x0
@4, Not in universe,,M`, H*gA school graduacte, Not inuniverse, Wdoowed<, FNot in universe or children, Notin unierse, White, Bll5+her,+_ CFem&6ale,, zo in univrse, Not in lor foJce,(P,,X, *on!iler,,NotV6in universe, Nonfamilyh3ouseodr, Householder,10D.50,,,, Not in ubiverse ner1 year ld,,%1,, United-States, Gnited-StaKe, Us4nitv-States,,W, Not in universe,,,o,R,-5w000
U, Not i cuniverre,`,, dhjldrp,,, Not in universe or +hildren, NPt] in hAun6iverse, 7te, DAll othr,FdMabl, Not in universe, Not in universe, IildrenoM Armed Forcs,,Z<m,N0,bNonfiowlQer, Not in< uniN7rse, Not in univ6erse,, Child uWdMr 18 never married,~7.78,,,,,,T, gBoth parnZs pre]sent,", Usitedv[-Sates", United-States, Unite-Sta_Ss,,, }Notpn unfverse,,0Tmr,0e,JI,-5&0000
n, Not in Sunivhnerse,0,f,_ Chil>d];en, ot inunWivrse, N8ever Rarried, Not in unive}se or chilP0en, Not in universe,{Blck," Ul o[t""er", 9MalD, Not nhOniv4erse, Not 0nM unverse, Childenor Armed Frces,e,,0, Eonfkie!r,$No~ in uniXverse, Not in universe, Child <18 never marre Snot& in subfamily, Child under 18 ever marid,1j41.,,,,,,0D, F!aser ony preseQt,, Unitd-Stjtesb," Uite,d0-States", Native- orn in t_he Unted States,, Not in nivrse,,I,=f,5,-5000m'
58,,,E|Z, 0th grade, Nt in univers, Marriedpoust atbsent, Agricul4Mure, Farming forestry and fishing, h[t*@e, gAllothe3J, Male, Not in uuiveAsa, *Noti univexrse, Full-ime schedules,Q;.,_Ye,L0,]inl," ?>ot i nive""se", ot i univei/s, Non4family householder, Househoder,97w2i,,,, Not in auniv<rse undes 1 year old,,, !Not in*uhiBerse,, Un^sed-StaYtest,, Native- Born in the United States,, Noot in niZvverse,,+[A,0,95O,"-5D00"""
