age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,P8riNapte,33423,"omel-cole:g""e",KM03R,NeverahriVe',Sales,Not-in-family,White,Femoale,0,0,xc1,United-States,[<=58/
,Private,198270,Assoc-6cdm,12,Divorced,Prof-specialty,Not-in-family,WhKt,Female,0,0,u'd,Un*ie-State',<=50K
19,Private,1,Some-college,10,NevVT-gmarri2ud,Adm-clerical,Ng-in-family,Asian-Pac-Lander,"""Male",0,,,Vietnam,=50K
46,Pri3ater,149949,7th-8th,4,Married-civ-spouse,iTrnansport-moving,Husband,WhIr~sit,"7e""",0,Z|,r0,Unite-Sae/s,E<=50V
38,PrviatwA,,Doctorate,-f16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Iklaner,Male,",0",0,<,China,>
J,rvate,254146,So0mecollege,P,Married-civ-spouse,Craf-repai,Husband,We0,Male,0,1R0t,w0,Uited-States,>50K
,Private,186720,SRme-college,4$,Never-ma?rri*ed,Oter-service,Own-child,White,Fe#-,0,0,t5>c,Unid-?StOaAtes,"<""`=50K2("
19,Private,2*865H6D,Some-college,10,"Never-marrie,d",Adm-clerical,Own-child,White,Female,594,0,20,Unit}AJd-Staes,<=50K
22,Local-gov,44064,11th,WF,2ver-marrsed,H%n|Odlers-cle%ane;rs,Own-child,Wdte,h?leh,0,4,35,United-tatcsQ,<=50K
,State-gov,93415,HS-grad,~W,Widowed,Adm-clerical,Unmarried,Asian-PacIslan#e,mplM\,sZ,0,40,United-States,
38,Private,289653,ac^elors,13,Diorce{d,Sale,Unmarried,White,Mae,,i1,45,United-States,g50K
4l,Pr[ivate,t154=Y3,5th-6th,3,Married-civ-spou%se,Transport-moving,Husband,|hiUe,9Mlpe,0,0,"rXJ""",United-States,<=50K
34,jrivt.,1S514Y,Some-colleige,1f0,DivCmrced,Adm-clerical,Ow-ch[|ild,White,;ale,0,9u,,,<Ys50K
41,Private,1907,,6,Never-married,2Handlers-cleaners,UnmzKri<Oed,White,Mbe,V,Ab,50,Uni~e-Statsz,<=50
H^L,?,(86QW786,10th,X,Neer-married,?,Own-child,White,Female,G0,O3,40,United-States,<=50K
23,Private,",4235`94",Z11th,M,Married-civ-spouse,,Husband,White,Male,0,$W,j5,UnitDd-States,<=50K
84,Self-mmp-.notpinc,M(<5p07,Bach#l@r,13,Married-civ-spouse,Farming-fishing,HusbadX,Wh9it,N(Qlex,0,0,20,Unite-Sitates,L=(
47,State-gov,4h106,Djoctor;tL,16,Separated,EExec-aagerual,O#AAwnFhild,Asian-Pac-Islander,,,hi,r,United-States,<=50K.
4,wuivate,195212,Bachelors,t,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,I,)B4,?,<=50K
8I3,Priw(vote,1'6'9&69,Bachelors,173,Married-civ-spouse,Prof-specialty,HUsbGD,W0ito,Male,15024,0,,Puerto-Rico,>50K.
