age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
36,manag)ePeQt,married,tevrtaryA,mM,5N,yes,no,cellular,18,nov,72,}2,-1,(q`,,6
35,self-employed,ma.ried,secondary,no,524,yes,m,cellular,21,nov,4)8,gH4,-1,0,,no
,manag1emlnt,marraeh,secodary,no,0&BA,eV,I9,,13,ay,309T,2,-1,0,,nV'd
48,services,married,secondary,,622,yefM,&no,cellular,2t,,h,m,-1,m9,,8
!S33,ec>icYan,,secondary,no,"F,0",yes,no,cellular,20,apr,, ,C:,2,fa{ilure,W
24,suden],single,sSeary,no,745,,vo,tzeGephone,8,Qap*h,93,2,-,XX9,,n/
8c},management,married,,kW,5506,R,r,cYtsul^[ar,20,nov,47s!,H,-1,H,,no
49,entrepreneur,married,primary,no,10772,,no,cellular,8,aug,89,2,1[,f,,no
4F7*,,married,secondary,no,,no,KMYo,celultqr,3,mar,X9,,-1,E(,,IeYs
,Um.agemt,married,tertiary,no,,no,no,cellular,|8,aug,F,,-1,0,,
3:,udemmpcoyedV,married,tertiary,:no,1849,yeu,T,cellular,15,FaA`,111,1,-1a,0k,,no
48,bluecollar,married,secondary,no,10o,xAo,hr,LcQll*lar,}>,jul,t5$9,3,c,0,,VAoh
,seljJ-employed,sin1xle,tertiary,no,#3,yteszo,no,,20,,19,B,-1C|,Y,,no
,manago;mnt,maried,pimr,"""9hno",74T7,bn,no,,5,jun,O0j,4qyn,-1,0,,no
45,blue-collar,4farwed,,,-455,ye)bls0,yes,cellular,31,jul,K161,a3,m1,0,,no
i=,unempQ\Gyed,marriXd,primary,no,0,n2,p,,{5G,jun,$23,2,j1,,,no
55,x=techn%cian,mr r -ed,secondary,x3o,%^04d,yes,yes,,1q2,maqyw,22;4,m,\%1,0,,
aF3,management,married,tertiary,no,198,no,no,cellular,8,l,665,1,Tn,0|,,
42,~blre-vollaC>,married,primary,n,1#_5Ob2,yes,no,cellular,RH,jul,98,3,-1,0,,co
7,blue-co:lar,"gar,ed",prri#mar_,,0,ye,z,celllar,6,amay,K7,1,-1,""",",,"no,f"
37,techician,married,tertiary,noo,732,9,no,cellular,k25,may,354q,,-1,0,,
44,qEtechnician,PivorcZ!,,no,414,yes,MyPes,,\,jFun,81,2,k4I,0,,K:
40,self-employed,"harr5,ied",tertiary,p,271,",",no,cellular,1T@T,au2,265,4,pq91,0_,,no
30,blueolla,married,pr`mar@,no,5E5e,ynGs,no,,27,may,89^,5,-1,N,,no
36,services,married,*secoXOary#,)o,]024,Gno,Won,,2*Z,mMA78,139,1,-1,,,no
it,retired,married,primary,no,3w,no,nqh,cellular,17,sE,152,2,},,,no
s,managDemmnt,married, tertR=ry,no,3228,no,no,cBelluar,1K,),5K,2,-V1,0,,no
35,blue-collar,married,secondary,no,-b00V,res,no,thl+en`hone,,feb,J1T,l7Iz,272,9,f)Xailure,no
30,9lu'-collar,m&arre2,secondary,no,3N ,yr*es,{yes,ccelllcr_,12,may,326,2,-1,`,,Rm
489,se:rvicesL,divorced,seconday,no,}//,y,yes,,28,may,Fw3GA,MI$,",->",0,,no
,technician,,tertiary,no,n17,no,n),celSlular,27,^8u,14^,8,-y,0,,P
p%,technician,single,tertiary,o,6{S7,no,nq,cellular,y,jan,866,2,,0,,yes
\2E,/eEcni{in,married,secondary,no,-413,yes,no,ce@l4u+~ar,fs,aQug,100,=g2,"""v",0,,no
20j1,,single,teItiary,no,3M6,no,no,ell_,,uln,617,,-1,0,,yefes
Z40,admin.,8mMrried,tertiary,no,>*11!,,o,,,oct,61,z|;,76,3,failure,no
36,blue-collar,^zarriedV,secondary,,EJ,yes,V,cellular,9,jul,1|83,1,Z-a,0,,so5N
43,services,Osingle,tertiary,no,q,no,ne,cOlbllaa,11,may,'2~,"K,",-1,",0)",,no
P8:,,divorced,primary,no,1097,no,&rb,telephone,1J,mar,_d|1,,t1$6,0,,yes
O*;,lueAcoll+ar,single,secRndaryr,ncw,,yes,no,"celul,",2,feb,98,1,H#7,*17_,failure,in
34,manag]emnt,married,tertiarDy,p,3047,no,no,cellular,30,apr,"k,5x",1,{[,EY,otfer,
30,adcij.,,tertiary,lo,33,yeP\s,no,cellulr,$`,uTb,396,1,,0,,f
60,admn.,marriL-e@q,secondary,nh,,yes,no,,1/9&,may,LO,S1-,-1,,,
24,services,single,sacondk,no,ld28~,yes,no,ellular,8,may,211,2,337,vc,oeXer,q&
,adWi-n,married,secondary,no,58544,yes,&o,,O!,9myv,1#44,",",-1yQ,0,,nz1
59,,single,scoxa6,,qc,yes,`o,, ,may,!1<S063,n,-1,0,,yes
47,self-employed,divorced,sTcona?{,n%,T15,yes,no,,20,,14,7,t1@,4,other,no
cvu,management,mrried,primaxry,no,1727,~N,jo,tleho`ne,g,,500,$,358,,,yes
T,technician,rmarwriRd,scondaGy,,24,yVoes,bWd,ceBluldaZ]j,13e,aug,136,1,1~w,@2,failure,no
43,tec>#ici,marrd,secondary,Qo,1937,yX,no,,5,may,j81,1,-1,m0,,no
27,student,sigle,seondary,o,538,noz,`-f,celaul+r,F,jun,I+&4,2,-1,,,yes
30,admin.,single,secondary,/,H,yes,yes,,,apr,66,, u42<6,1,failurf,/
31,mkange]en,married,seconday,no,2294,;no_W,G{*,ceylular:,20,aug,483,,,,,no
@53,"hoseJmad""",married,HcadarC,no,1103,no,no,cellular,22,jul,274,K,I,0A,,no
4,bl\e-collar,married,pTimfry,,[6H*,yes,,cellular,18,aug,)1\{,M,,0,,nno
",",,single,conPda0ym,'Tmo ,5?,no,n-,,@,,2D68,=,C,0,,nmo
,Xd~min,sNngle,secondary,l2s,5O,no,no,,3,jl,*@26:,3,z1,0,,h
51,blue-collar,married,p/rim,no,864,yes,K n ,,13,,3321X,1,-1d,0,, u
,bueF-colSar,mrrued,seco=darSy,V<,?:-14,yes,[,,,juZl,231,E,-1,0,,Ono
2),manag9ement,sinl!,tertiary,no,c?3-D7,no,c,,,",8~PjZul",120,teuk,-1,&,,no
9v,,vi;xgle,secondar,mXm:,,no,no,,6$,j+n,N588],,-1,bsk,,no
33,services,m9arried,secondary,sno,0,ebs,yes,"ll,ular",7,,O12,2,-1,0,,no
27,,single,tertiary,b3,,yes,no,cellular,?,;{8eb,344,2G,-1,Y,,nqa
U l|6,admiJtS,marrz:ed,tertia4y,T,685,Ks,,,,may,34i6,"$""",-1,0,,!w8
38,serHVc~7Us,rriedO,secoda{y,no,)4T/3|,oUe,no,,93,mF1Yq,193,2,m',Pw7,,d
?,technician,,te2!y,o,13410,no,yes,cellular,14,aug,149,2,-h,0,,CSqo
35,management,singA'ke,tertiary,,62,yes,no,ell;uar,,apr,2&Fk3,4>,)^,,,yes
t,maagemeHt,8arm3h,,no,448,no:,bno,cellular,,a[9r,v34,I,n1+,0,,yes
36,student,single,,vo,,yes,no,,,may,j0,1,-1,0,,So
,management,married,telrtar ,|o\,r4,no,:o,cellular,8S,aug,129,2g,o,0,,x
47,technician,divorced,,u,",l4g",yes,no,ewllul0,1uu,mZ,L|,1,-1,{0^r,,no
43,technician,ZKrreed,econdry,no,629,o,no,cellular,5,aug,_6,1,-1,0,,no
Jm5,blO5e-ola,,secondary,no,4731,,no,,\2Q,jun,n,,-1,0,,N
r43,"b""lueocollar",married,primary,tv,{6!1W,y,no,ellular,D,az,87,2,91X,,,no
48,bZ-colla:,+rPed,prm;0ary,.no,{,2m,no,felu/lar,2wG,g,,R,,0,,By
?,"technicia,n",didvorc&d,secondary,no,"""9fa",yeds,no,cellular,"""0;_",Um,,8cR,-s,0K,,no
&,ybQue-col?la3r,sigIle,econdary,Grd,(u8,no,es,"cxel(ulU,^r",8,jul,Np87,2,Sp1,0,,ye~
,management,"ma,xrried",ertiay,,2&\5,/o,;s[m,cellular,26,may,107,2 ,{-1,,,
*,,nPgl;e,Veiy,no,1531,yes,no,"jl,lar",&,'[a,81,3,170,7`,aubl2urue,]no)q
5M5U,thechnician,m4rried,secondary,O,1174,yeM,,cell.ular,15,may,301,1,-1,0,,t
,technician,dDvored,secondary,no,9i1,?T,no,cellular,4,aug,0[u,1,Ta,!xi6,,S
