age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,Private,2,Some-college,10,fever-married,Sales,Not-in-family,White,&Fem7l[,0,p,,Un_ited'Ltbates,<5(
n44,Private,k'8Na0,Assoc-acdm,12,Div#cqd,Prof-specialty,Not-in-family,Whte,,0,;,43,United-States,<=50K
19,Private,1S52,Some-college,D0,Nevr-married,A$dm-ceical,N1ot-in.-family,Asian-Pac-Islander,Male,0,0,,Vietnam,<=50K
46,Private,149949,7thz-8th,e,Married-civ-spo]use,Transport-mov1ng,"H.ubAd,",h_,Male,x,0,3,UKni'e-States,<=50K
"eQ,m8",Pri0}amtSe,C6cO9,Roctorate,16,MDarrVed-civ-spouse,Prof-specialty,Husb|nd,Asian-Pac-Islander,kal,(0,,40,China,>50K.
,Privat,254146,S vme-olGlege,10,Married-civ-spouse,C>aft-recpalir,Husband,White,Male,"""7",1902,LY,United-States,>7$0K
<28,PivtB,186720,Some-college,10,Never-married,Other-service,wn-childT,White,3Velo,^0,0,50,United-Stat2s,<=50
19,PrivaeZ,208656,,u0',,Adm-clerical,,White,Female,594,0,20,United-States,<=0KU
2,Loh[-gov,44Tw6oO,11th,7,Never-married,Handlers-cleaners,Own-child,White,M!al,0,-,5q,United-States,<=50K
56,,9fq:,!Siggad,s,Wowd,Adm-clerical,Unmaried,Asian-Pac-Islander,Femal,0,0,40,Untted-States,<=50K
38,Private,2896x3Ip,Bcelors&,CJ1N,Divoced,Sales,Unmarried,WJite,Male,0,0,<a,Unite]-0taes,>50K.
48,Private,315423,5th-6th,3,Married-civ-spouse,Transport-moving,Huanqdh,White,M}e>,G'y,,0.,United-States,<=5sK
",",Pqiv-e,105141,Some-college,0!,Divorced,WAdm-clericl,Own-child,White,Male,,0,F;,United-States,#=5f-0.
41,Priv7m,1990h=,10gxh,Gh,Never-married,Hanl`ers-ceaners,Uma}ried,White,Ma?lV,0,0,50,United-States,<=50K
,?,87{,10th,6,Never-married,?,Own-child,,PemalG,pF,d,460,United-States,<=50K
23,Pri2t{,b23n5.,Y~Bth,7,Married-civ-spouse,"Ee,-managerial",Osband,+GW\ie,,tf,"""",55,United-States,<=50K
84,Self-emp-not-inc,155057,Bach[lo7r/?,13,Married-civ-spouse,FarminRg-fishng,Husband,W5,Me_,0,,W_0,Unied-Sttes,<=k02K
47,State-gov,>16,octoPte,Y16,Separated,ExecmanNeria/,Own-child,Asian-Pac-Islander,l,2354,0,45,United-States,<=50K.
C,Purivate,:1p952j2,Bachelors,<,Married-civ-spouse,Fzej\-mmanagerial,Wif>e,Black,}e_e,;,6,c,?,<=5JKb
z3Q,Private,w1692:69,Bac*lous`,13,Married-iv-spouse,Prof-specialty,Gusxband,,M],A5024,(,4on,Puerto-Rico,
`3,Private,238816,Assoc-voc,11,Married-civ-spou%se,Tech-support,Husband,White,Male,;,0,40,United-States,R(L5K.
61,F0ederl~gov,294466,Some-college,10,DBvoceA`,Adm-clerical,Not-in-family,7Ylk,FHQmal,0,0,40,QU@onield-States,5=50K|
38,Private,35429,,9,Married-civ-spouse,,Husband,White,Ma,R,2042,40,uned-Stap tes,<=50K
"e,6",Private,275'91,11thv,7,N=e}er-mLarried,Transport-moving,Own-child,W$ite,MaVye],0,0,39,UnitAd-ASttes,<=50K
.,Self-emp-not-inc,09-n,HS-grad,)e,,Craft-repair,,White,Clf,0,5,35,United-States,<=5PK
57,Private,178154,91,,Widowed,Transport-moving,Not-i;-Bamilxly,White,Male,2,,0,United-States,<=50K.
1',P rvate,29658,HS-grad,S,Marnrie_d-cv-spuse,Craft-repair,HCusband,kWhitT0,,,0,40,United-Stas,>50K
5,Private,7i264,Some-college,10,-hrried-cv-spousc,Craft-repair,HTsband,uite,f5ale,,0,34,United-States,<=50K.
cj3,Private,18k33=,mAsoc-loV,11,Married-civ-spouse,aAdm-cyerical,Wife,Black,Female,0,",k",40,United-States,<=50K
19,PUate,207173,,9,Separated,,Unmar>did,White,Female,0,,30,Untd-Sat=s,<0
R,Federal-gov,4a2,9th,5,Divorced,1Jth3r-~ervie,vgotin-fPamily,Black,Female,0,,40,United-States,a=yK.
/9,PEivte,179668,acheleCr,13,Marrad-civ-sonse,Tech-suppor$,HObDn>d,Whi3te,Mal,>5 ,0,,Ui^ted-States,F5c!K
24^l,Private,29(2,lH+-gaad,:,Never-married,Craft-re:pair,Own-child,WC*te,,N,0,40,United-States,<=50K
r~,,423616,,X,Married-civ-spouse,,,W@hEg,Feyl8e,,?,36,United-St0tes,&l50q
3|m1,Self-emp-inc,343872,Som~co$llee,&,"drrieO-civ;-""spouse",Transport-moving,Husband,B?ack,'1Mlet,C,N,35,Haiti,<=50K
{B,Private],31128p8,11th,7,Never-marriedm,Execmanagerial,Own-c}hild,White,Female,0,Do E,24,United-States,<=50K.
,Pi3vat&e,1o260964|kn,RS-rad,9,)arrged-cidv-spouse,Machine-op-inB{c5,2usFaLd,WhiUte,Male,,,4!},Unite-State,<=5j0K.
37,P-vHe,t6712,HS-grad,9,Divocod,Sales,o}t-in-fa^milya,h0e,},0,0,60,United-StLtes,<=50K
